run,nom_rank,gene,modality,confidence,reason
3,5,KIF18A,inhibit,medium,"Mitotic kinesin dependency with excellent window and tumor enrichment, and it has an emerging clinical inhibitor class validating druggability despite common-essential flag."
3,6,CDK7,inhibit,medium,Fully tractable kinase with clinical-stage inhibitors and PTEN synthetic lethality; transcriptional-CDK role gives anti-GBM rationale despite common-essential liability.
3,7,TEAD1,inhibit,medium,"Hippo/YAP effector with a genuine druggable lipid pocket and clinical TEAD palmitoylation inhibitors, offering a tractable node in mesenchymal GBM."
3,8,ITGB5,inhibit,medium,Novel integrin dependency with good tumor enrichment and NF1/CDKN2B synthetic lethality; cell-surface accessibility supports antibody/peptide or small-molecule antagonism.
3,9,VRK1,inhibit,medium,"Strong selective dependency and a serine/threonine kinase (tractable class) with growing interest as a paralog-lethality target, though GBM-specific inhibitors are nascent."
3,10,KIF18B,inhibit,medium,"Mitotic kinesin with near-top tumor enrichment and outstanding therapeutic window, mechanistically similar to druggable KIF18A despite no current inhibitor."
3,11,ELAVL1,inhibit,low,"RNA-binding oncogenic hub (HuR) with high tumor specificity/enrichment and reported small-molecule ligands, giving a tractable non-kinase option."
3,12,EGLN1,inhibit,low,"PHD2 prolyl-hydroxylase is an approved-drug enzyme class; its hypoxia/HIF axis is a plausible GBM vulnerability with strong tractability, though directionality for tumor benefit is uncertain."
3,13,PTPN11,inhibit,low,"SHP2 is fully tractable with allosteric clinical inhibitors and sits downstream of GBM RTK signaling, providing a druggable node despite common-essential and CNS-window concerns."
3,14,PTK2,inhibit,low,"FAK is fully tractable with clinical inhibitors and shows strong dependency with CDKN2A/B synthetic lethality, though tumor specificity is TME-dominated and window is a concern."
3,15,E2F3,inhibit,low,Transcription factor with RB1 synthetic lethality and good selectivity/enrichment; biologically compelling in RB-pathway GBM but currently lacks any small-molecule handle.
4,1,PDGFRA,inhibit,high,"Validated GBM oncogenic driver (amplified/mutated) with a fully tractable kinase pocket, approved-drug chemistry, top tumor specificity and strong selectivity; the CNS-penetration liability is a chemistry problem, not a target problem."
4,2,MET,inhibit,high,"Recurrent GBM driver and bypass/resistance kinase with approved inhibitors, excellent selectivity (0.97) and full tractability, making it a mechanistically rational and immediately actionable target."
4,3,CDK2,inhibit,high,Highest-dependency druggable kinase here with strong synthetic-lethality to RB1 loss and full tractability; low selectivity reflects pan-cycling essentiality but selective CDK2 inhibitors now exist to exploit a real window.
4,4,KIF18A,inhibit,medium,"Mitotic kinesin with a genuine emerging small-molecule MoA (KIF18A inhibitors in clinical development) and very high dependency plus excellent therapeutic window, making the 'no-inhibitor-MoA' flag outdated."
4,5,CDK7,inhibit,medium,Transcriptional CDK with clinical-stage covalent inhibitors and full tractability; PTEN synthetic-lethality gives a GBM-relevant rationale despite common-essential dosing caveats.
4,6,TEAD1,inhibit,medium,"Hippo-pathway effector with an established druggable palmitate pocket (clinical TEAD auto-palmitoylation inhibitors) and good selectivity, offering a rare tractable transcriptional target for mesenchymal GBM."
4,7,ITGB5,inhibit,medium,"Novel integrin with strong dependency, top-tier tumor enrichment and dual CDKN2B/NF1 synthetic-lethality; extracellular target is antibody/peptide-amenable even if classic small-molecule MoA is unproven."
4,8,EGLN1,inhibit,medium,"PHD2 prolyl-hydroxylase is a well-validated enzyme with approved-drug chemistry and full tractability, giving a druggable handle on the HIF/hypoxia axis central to GBM biology."
4,9,VRK1,inhibit,medium,Serine/threonine kinase with very high dependency (0.90) and paralog-driven selectivity potential; a tractable enzyme class that is a credible novel small-molecule kinase target.
4,10,KIF18B,inhibit,medium,"Mitotic kinesin with high dependency, excellent tumor enrichment and near-best therapeutic window, and it shares a druggable motor-domain chemotype with the actively drugged KIF18A/KIF11 family."
4,11,PTPN11,inhibit,medium,"SHP2 is a fully tractable, clinically drugged allosteric phosphatase downstream of RTK signaling relevant to GBM; strong tractability despite modest window and CNS-penetration concerns."
4,12,ELAVL1,degrade,low,HuR RNA-binding protein driving oncogenic mRNA stability in GBM with strong tumor enrichment/specificity; degrader or PPI-inhibitor approaches make it an increasingly tractable novel target.
4,13,GPX4,inhibit,low,Very high dependency and a validated ferroptosis-induction node highly relevant to therapy-resistant mesenchymal GBM; covalent GPX4 inhibitor chemistry exists but the poor window (0.09) demands local/prodrug strategies.
4,14,FGFR1,inhibit,medium,Amplified/fused GBM kinase driver with approved-drug chemistry and high tumor specificity; ranked lower only because of documented CNS neurotoxicity that constrains but does not eliminate the window.
5,1,PDGFRA,inhibit,high,"Recurrent GBM amplification/activation driver with perfect tractability, approved kinase inhibitors, and high tumor specificity plus a good therapeutic window."
5,2,MET,inhibit,high,"Validated GBM RTK driver (amplification, exon-14, ligand-driven invasion) with best-in-class selectivity, full tractability, and approved MET inhibitors ready for repurposing."
5,3,CDK2,inhibit,high,"Highly dependent, fully tractable kinase with synthetic lethality to RB1 loss and a decent window; selectivity concern is real but new CDK2-selective inhibitors mitigate it."
5,4,CDK7,inhibit,medium,"Chemically mature transcriptional-CDK kinase with PTEN synthetic lethality and clinical-stage covalent inhibitors, offering a tractable route despite common-essentiality."
5,5,TEAD1,inhibit,medium,"Hippo/YAP effector with a genuine small-molecule lipid-pocket palmitoylation-site MoA (clinical TEAD inhibitors), good selectivity and druggability despite modest dependency."
5,6,KIF18A,inhibit,medium,"Mitotic kinesin with strong, selective dependency in chromosomally-unstable tumors and emerging clinical-stage inhibitors demonstrating a real druggable MoA."
5,7,ELAVL1,inhibit,medium,"HuR RNA-binding oncoprotein enriched in GBM with tumor specificity and reported small-molecule disruptors of its RNA interface, warranting inhibitor development."
5,8,PTPN11,inhibit,medium,"SHP2 is a fully tractable, allosterically-druggable node downstream of GBM RTKs with clinical SHP2 inhibitors; combination use with RTK blockade is the natural strategy."
5,9,GPX4,inhibit,medium,Very strong dependency and a validated ferroptosis-inducing inhibitor MoA that GBM stem cells are especially sensitive to; window and CNS safety must be engineered carefully.
5,10,CDC25B,inhibit,low,Druggable cell-cycle phosphatase with tumor specificity; MoA needs development but enzyme-class tractability and GBM proliferation dependence make it a reasonable inhibitor target.
5,11,VRK1,inhibit,medium,Novel serine/threonine kinase with very high dependency and reasonable tractability; a chromatin-signaling kinase amenable to ATP-competitive inhibitor discovery.
5,12,KIF2C,inhibit,low,"Top-composite mitotic kinesin with excellent tumor enrichment and window, but no inhibitor MoA yet — genuinely promising if a KIF18A-style motor inhibitor can be found."
5,13,EGLN1,inhibit,low,"PHD2 prolyl hydroxylase is a fully tractable enzyme with approved inhibitors; directional caution is warranted since inhibition stabilizes HIF, so use must be validated as tumor-suppressive in GBM."
5,14,WDR77,inhibit,low,Novel PRMT5 cofactor with GBM tumor specificity and CDKN2A/B synthetic lethality that dovetails with the MTAP-deletion/PRMT5 axis; targetable via the PRMT5-MEP50 complex.
5,15,FGFR1,inhibit,low,"Tractable RTK driver in FGFR-altered GBM with approved inhibitors, included with reservation given its poor window score and CNS-safety flag requiring patient selection."
6,1,PDGFRA,inhibit,high,"Canonical GBM driver (frequently amplified/mutated) with a top tractability score, an approved-drug kinase MoA, and excellent tumor specificity — the most actionable driver on the list."
6,2,MET,inhibit,high,"Validated RTK bypass/driver in GBM with the best selectivity score, full tractability, and approved kinase inhibitors that can be repurposed for MET-altered tumors."
6,3,CDK2,inhibit,high,"Fully tractable kinase with strong dependency, high tumor enrichment, RB1-context synthetic lethality, and emerging selective inhibitors, though its common-essential/low-selectivity profile requires a window strategy."
6,4,KIF18A,inhibit,medium,"Mitotic kinesin with a genuine catalytic pocket and active clinical-stage inhibitors, very high dependency and tumor enrichment, and a chromosomal-instability selectivity rationale."
6,5,TEAD1,inhibit,medium,Druggable Hippo-pathway transcription factor with validated palmitate-pocket small molecules (autopalmitoylation inhibitors) and strong selectivity/tumor enrichment.
6,6,CDK7,inhibit,medium,Fully tractable transcriptional/cell-cycle kinase with clinical-stage covalent inhibitors and PTEN-context synthetic lethality; common-essential status caps the therapeutic window.
6,7,KIF2C,inhibit,medium,"Top composite with outstanding tumor enrichment and window scores and CDKN2A/B synthetic lethality, but as a kinesin motor it needs de novo inhibitor discovery."
6,8,ITGB5,inhibit,medium,"Integrin with high dependency, best-in-class SL signal against CDKN2B/NF1 lesions, and reasonable tractability via biologics/peptidomimetics despite lacking a classic small-molecule MoA."
6,9,VRK1,inhibit,medium,Serine/threonine kinase with very high dependency and an established SMARCA4/paralog synthetic-lethal rationale; catalytic site makes it a realistic inhibitor target.
6,10,KIF18B,inhibit,medium,"Mitotic kinesin with excellent tumor specificity, near-maximal tumor enrichment and window, and CDKN2A/B SL — mechanistically inhibitable like other kinesins pending chemistry."
6,11,EGLN1,inhibit,medium,"PHD2 prolyl hydroxylase is a highly tractable enzyme with approved-drug chemistry (HIF-PHD inhibitors) and selective profile, offering a repurposing entry into hypoxic GBM biology."
6,12,ELAVL1,inhibit,low,HuR RNA-binding oncoprotein with strong tumor specificity/enrichment and existing chemical starting points; a hard but mechanistically inhibitable RNA-binding target.
6,13,ERCC6L,inhibit,low,"PICH DNA translocase with strong selectivity, near-maximal tumor enrichment and window scores; an ATPase pocket makes it a plausible inhibitor target once chemistry is developed."
6,14,E2F3,degrade,low,"Oncogenic transcription factor with RB1-context synthetic lethality and good selectivity; TF druggability is the main hurdle, so degrader approaches may be needed."
6,15,WWTR1,inhibit,low,"TAZ oncogenic transcriptional co-activator with high tumor enrichment and CDKN2A/B SL, addressable indirectly via the same TEAD-pocket chemistry that blocks its output."
7,1,PDGFRA,inhibit,high,"Validated GBM driver RTK, frequently amplified/mutated, with excellent tractability, tumor specificity and approved kinase inhibitors already in clinic."
7,2,MET,inhibit,high,"Actionable RTK driver in a GBM subset with strong selectivity and approved small-molecule inhibitors, though CNS penetration must be confirmed."
7,3,CDK2,inhibit,medium,"Highly tractable kinase with synthetic lethality to RB1 loss and strong dependency; low selectivity flags pan-essentiality, so a genotype-selected (CCNE/RB) window is needed."
7,4,PTK2,inhibit,medium,"FAK is a druggable kinase with SL to CDKN2A/B deletion, but TME-dominated dependency and CNS risk cap enthusiasm to a targeted-window strategy."
7,5,TEAD1,inhibit,medium,"Emerging druggable transcription factor (palmitate-pocket inhibitors exist) driving Hippo/YAP-dependent GBM, offering a genuinely novel MoA."
7,6,CDK7,inhibit,medium,"Tractable kinase with covalent inhibitors in clinical development and SL to PTEN loss, though its common-essential nature demands a narrow therapeutic window."
7,7,ELAVL1,inhibit,medium,"HuR is a novel RNA-binding oncodependency with tumor enrichment/specificity and nascent chemistry, warranting inhibitor-discovery investment."
7,8,GPX4,inhibit,low,"Strong dependency and a mechanistically compelling ferroptosis-induction target for GBM, but very poor therapeutic window and CNS risk make it high-risk."
7,9,EGLN1,inhibit,low,"PHD2 is an enzyme with clinically approved small-molecule inhibitors and good tractability, though modest dependency makes GBM efficacy uncertain."
7,10,VRK1,inhibit,medium,"Novel druggable kinase with very high dependency and a paralog-SL rationale (VRK2-methylated tumors), attractive despite lacking a mature MoA."
7,11,KIF18A,inhibit,medium,"Mitotic kinesin with a bona fide clinical-stage inhibitor class and excellent tumor enrichment/window, offering a tractable path despite common-essential flag."
7,12,WDR77,inhibit,medium,"Novel PRMT5-cofactor dependency with strong SL to CDKN2A/B loss and good tumor specificity, addressable via the emerging MTAP/PRMT5 axis."
7,13,E2F3,degrade,low,RB1-pathway transcription factor with SL to RB1 loss and good selectivity; a hard but conceptually strong target if degrader chemistry can be developed.
7,14,KIF2C,inhibit,low,"Top composite with high tumor enrichment and window, but as a mitotic kinesin with no inhibitor MoA it is an early-stage discovery bet rather than a validated target."
7,15,FGFR1,inhibit,low,"Amplified RTK driver in a GBM subset with approved inhibitors and high tractability, but severe therapeutic-window and CNS-safety limits require careful patient selection."
8,1,PDGFRA,inhibit,high,"Recurrently amplified/mutated GBM driver RTK with excellent tractability, tumor specificity, and approved-drug chemistry, giving a clear inhibition path."
8,2,MET,inhibit,high,"Validated GBM driver kinase with top selectivity vs pan-essential, full tractability, and clinical MET inhibitors already in hand."
8,3,CDK2,inhibit,medium,"High dependency and tumor enrichment with mature selective inhibitors and an RB1 synthetic-lethal rationale, offset partly by common-essential selectivity concern."
8,4,CDK7,inhibit,medium,"Transcriptional/cell-cycle kinase with fully tractable chemistry, PTEN synthetic lethality, and reasonable window despite common-essential flag."
8,5,TEAD1,inhibit,medium,"Hippo-pathway transcriptional effector now genuinely druggable via covalent palmitate-pocket small molecules, with good selectivity and tumor enrichment."
8,6,PTK2,inhibit,medium,"FAK inhibitors are clinically available and its integrin/invasion role fits GBM biology, though tumor specificity is low and CNS safety needs care."
8,7,ITGB5,inhibit,medium,"Novel integrin dependency with strong tumor enrichment and dual CDKN2B/NF1 synthetic-lethal signal, addressable by extracellular small-molecule/antagonist chemistry."
8,8,ITGAV,inhibit,low,"Very high dependency with existing integrin-antagonist chemistry, but low tumor specificity and TME contamination make it a hypothesis-generating pick."
8,9,VRK1,inhibit,medium,"Strong, selective kinase dependency emerging as a paralog synthetic-lethal target with tractable ATP-competitive chemistry despite no current approved inhibitor."
8,10,KIF18A,inhibit,medium,"High-dependency mitotic kinesin with a proven small-molecule inhibitor class and excellent window, so 'no-inhibitor-MoA' flag is likely outdated."
8,11,ELAVL1,inhibit,low,HuR RNA-binding oncoprotein with high tumor enrichment/specificity and emerging small-molecule disruptors of its RNA interface.
8,12,EGLN1,inhibit,low,"PHD2 prolyl-hydroxylase is fully tractable with approved active-site inhibitors, offering a defined enzyme handle in hypoxic GBM biology."
8,13,KIF2C,inhibit,medium,"Top-composite mitotic kinesin with outstanding tumor enrichment and window plus CDKN2A/B synthetic lethality, though it needs new inhibitor chemistry."
8,14,WWTR1,inhibit,low,"TAZ oncogenic transcriptional coactivator druggable indirectly through the same TEAD palmitoylation axis, giving a real small-molecule strategy despite low tumor specificity."
8,15,FGFR1,inhibit,low,"Amplified GBM RTK with approved inhibitors and high specificity, ranked cautiously because CNS-safety risk and low window constrain the therapeutic margin."
9,1,PDGFRA,inhibit,high,"Validated GBM driver receptor tyrosine kinase, frequently amplified/mutated, with excellent tractability, tumor specificity, and existing approved kinase inhibitors to build on."
9,2,MET,inhibit,high,"Druggable RTK driver in a GBM subset with strong selectivity and tumor enrichment and clinically available inhibitors, best in a biomarker-selected population."
9,3,CDK2,inhibit,medium,"Highly tractable kinase with strong dependency and RB1 synthetic-lethality rationale; low selectivity/common-essential flag argues for CNS-sparing, biomarker-guided dosing."
9,4,KIF18A,inhibit,medium,"Mitotic kinesin with genuine small-molecule inhibitors emerging clinically, strong dependency and tumor enrichment, exploiting chromosomal-instability vulnerability."
9,5,TEAD1,inhibit,medium,"Hippo-pathway transcription factor now drugged via covalent palmitate-pocket inhibitors, good selectivity and tumor enrichment make it a tractable transcriptional target."
9,6,CDK7,inhibit,medium,Transcriptional/cell-cycle kinase with mature covalent inhibitor chemistry and PTEN synthetic-lethality signal; common-essential status requires careful therapeutic-window management.
9,7,VRK1,inhibit,medium,"Strong, selective dependency serine/threonine kinase increasingly pursued as a paralog/synthetic-lethal target; kinase active site offers a realistic small-molecule handle despite no current MoA."
9,8,KIF2C,inhibit,medium,Top composite driven by exceptional tumor enrichment and window with CDKN2A/B synthetic-lethality context; a kinesin motor domain is a plausible (if unproven) small-molecule target.
9,9,KIF18B,inhibit,medium,"Mitotic kinesin with outstanding tumor specificity, enrichment and therapeutic window; motor-domain inhibition is precedented by the KIF18A class though no compound exists yet."
9,10,ITGB5,inhibit,medium,"Tumor-enriched integrin with solid dependency and CDKN2B/NF1 synthetic-lethality, addressable by small-molecule or peptidomimetic integrin antagonists."
9,11,ELAVL1,inhibit,low,"RNA-binding protein (HuR) stabilizing oncogenic transcripts with high tumor specificity/enrichment; disruptor small molecules are in early development, so an inhibit-the-interaction strategy is feasible."
9,12,EGLN1,inhibit,low,"Well-characterized enzyme (PHD2) with drug-like inhibitor chemistry and approved-drug precedent; GBM rationale is modest so it warrants exploratory, hypoxia-context validation."
9,13,E2F3,degrade,low,RB1-synthetic-lethal transcription factor with good selectivity and enrichment; undruggable directly (tract=0) so pursue via upstream CDK/degrader routes rather than direct inhibition.
9,14,WDR77,inhibit,low,"CDKN2A/B synthetic-lethal WD40 scaffold (PRMT5 cofactor) with high tumor specificity; WD40 pockets and the MTAP/PRMT5 axis make it a rational, if early, chemistry target."
9,15,PTPN11,inhibit,low,"Node RTK-pathway phosphatase (SHP2) with validated allosteric inhibitors that could blunt PDGFRA/MET signaling; poor selectivity, low tumor specificity and CNS risk cap enthusiasm."
10,1,PDGFRA,inhibit,high,"Validated GBM oncogenic driver (amplified/mutated) with a fully tractable kinase active site and approved-drug chemistry, strong selectivity and perfect tumor specificity."
10,2,MET,inhibit,high,"Recurrent GBM driver kinase with excellent selectivity, high tumor specificity, and approved inhibitors that can be repurposed/optimized for CNS penetration."
10,3,CDK2,inhibit,medium,"Highly tractable kinase with clinical chemistry and RB1 synthetic-lethal rationale; the main risk is common-essentiality, so a therapeutic window depends on selective inhibitors."
10,4,KIF18A,inhibit,medium,"Mitotic kinesin with strong dependency and tumor enrichment and an emerging inhibitor class (chromosomally-unstable-tumor selective), giving a genuine small-molecule path despite the novel flag."
10,5,KIF2C,inhibit,medium,"Top composite with excellent tumor enrichment and window and CDKN2A/B synthetic-lethality, and as a catalytic microtubule depolymerase it is a plausible (if unproven) enzymatic inhibition target."
10,6,TEAD1,inhibit,medium,"Hippo-pathway transcription factor with a druggable palmitate pocket and validated covalent auto-palmitoylation inhibitors, offering a real small-molecule handle on a transcription factor."
10,7,VRK1,inhibit,medium,"Strong pan-cancer dependency kinase with paralog(VRK2)-loss synthetic-lethal logic in GBM and a druggable ATP site, making it a credible novel kinase target."
10,8,ITGAV,inhibit,low,"Integrin with strong dependency and existing chemistry (RGD antagonists), though TME-dominance and low tumor-cell specificity temper enthusiasm."
10,9,EGLN1,inhibit,low,PHD2 prolyl hydroxylase is enzymatically tractable with approved inhibitors; hypoxia-axis modulation in GBM is mechanistically interesting but directional benefit is uncertain.
10,10,CDK7,inhibit,medium,"CDK-activating/transcriptional kinase with covalent clinical-stage inhibitors and PTEN-loss synthetic-lethal rationale, tempered by common-essentiality and narrow window."
10,11,KIF18B,inhibit,low,"Mitotic kinesin with outstanding tumor enrichment, window, and specificity plus CDKN2A/B synthetic lethality; tractability is currently poor but shares chemistry potential with the KIF18A class."
10,12,ERCC6L,inhibit,low,"PICH DNA translocase (SNF2-family ATPase) with high selectivity, near-perfect window and tumor enrichment; enzymatically inhibitable in principle though no chemistry exists yet."
10,13,ITGB5,inhibit,low,"Integrin with solid dependency, synthetic lethality (CDKN2B/NF1) and reasonable tractability via integrin-antagonist chemistry, worth exploring as an adhesion-axis target."
10,14,ELAVL1,inhibit,low,"HuR RNA-binding protein with high tumor enrichment/specificity and emerging small-molecule disruptors of RNA binding, a novel but mechanistically-supported target."
10,15,PTPN11,inhibit,medium,SHP2 is a druggable allosteric phosphatase central to RTK signaling with mature clinical chemistry; GBM value hinges on combination use given narrow window and CNS-safety concerns.
11,1,PDGFRA,inhibit,high,"Validated GBM oncogenic driver kinase with a top tractability score, approved-drug chemistry, and near-perfect tumor specificity, making it a directly druggable inhibition target."
11,2,MET,inhibit,high,Recurrent GBM receptor tyrosine kinase driver with excellent selectivity and full small-molecule tractability plus approved-drug precedent.
11,3,CDK2,inhibit,high,"Strong dependency with a clear RB1 synthetic-lethal rationale and mature small-molecule chemistry, though pan-essential liability requires a wide therapeutic index."
11,4,CDK7,inhibit,medium,"Druggable transcriptional/cell-cycle kinase with clinical-stage covalent inhibitors and a PTEN synthetic-lethal signal, tempered by common-essentiality."
11,5,TEAD1,inhibit,medium,"Hippo-pathway effector now targetable via allosteric palmitate-pocket inhibitors, with high selectivity and tumor enrichment despite modest measured dependency."
11,6,EGLN1,inhibit,medium,"PHD2 prolyl-hydroxylase is an enzymatically tractable target with approved-drug chemistry and good selectivity, offering a hypoxia-axis modality in GBM."
