run,condition,dependency,selectivity,synthetic_lethality,tumor_specificity,tumor_enrichment,therapeutic_window,tractability,rationale,sum
20,expert,24.0,18.0,12.0,10.0,7.000000000000001,12.0,17.0,"Direct genetic dependency and glioma-selectivity anchor a true druggable vulnerability, with tractability and safety window gating deliverability, while expression-only signals are weighted lower as supporting evidence.",100
21,expert,24.0,18.0,12.0,12.0,8.0,10.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most weight since they are causal survival evidence, tractability gates whether a small molecule is feasible at all, while expression-based enrichment is weighted least as it is only correlative.",100
22,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal evidence the tumor needs the gene, while tractability and safety (window/specificity) gate whether a small-molecule drug is feasible and tolerable; mere over-expression is weakest as it is correlative.",100
23,expert,24.0,18.0,12.0,11.0,7.000000000000001,10.0,18.0,"Direct genetic dependency and glioma-selectivity are the strongest evidence a target is both needed and safe, so they lead; tractability is heavily weighted because an undruggable target cannot become a small-molecule therapy, while correlative expression enrichment carries the least causal weight.",100
24,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and its glioma-selectivity are weighted highest as causal evidence the tumor needs the gene, with tractability and safety/window next since an undruggable or toxic target cannot become a drug, and expression-based enrichment lowest as it is correlative rather than causal.",100
25,expert,24.0,17.0,12.0,11.0,7.000000000000001,11.0,18.0,"Direct genetic dependency and its glioma-selectivity carry the strongest causal evidence that inhibition will work and be tolerable, tractability gates whether a small molecule is feasible at all, while expression-based enrichment is weighted least as it is only correlative.",100
26,expert,24.0,18.0,12.0,12.0,8.0,10.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the strongest causal evidence that inhibition will work and be tolerated, while tractability gates whether a small molecule is feasible; expression-based signals are supportive but weaker proxies.",100
27,expert,24.0,18.0,12.0,11.0,7.000000000000001,13.0,15.0,"Direct genetic dependency and its glioma-selectivity are the strongest evidence a target is real and safe to inhibit, while tractability and therapeutic window gate whether a small molecule can be made and tolerated; expression enrichment alone is weak so it gets the least.",100
28,expert,24.0,17.0,13.0,11.0,7.000000000000001,13.0,15.0,"Direct genetic dependency and its glioma-selectivity carry the most weight since they are the strongest causal evidence a tumor needs the gene, with synthetic lethality, safety window, and small-molecule tractability weighted next, and correlative expression enrichment least.",100
29,expert,24.0,18.0,12.0,10.0,8.0,13.0,15.0,"Genetic dependency and its glioma-selectivity are the strongest causal evidence a target is needed, so they dominate; tractability and therapeutic window gate whether a small molecule can safely exploit it, while expression-based and synthetic-lethal signals refine but don't establish causal need.",100
30,expert,24.0,18.0,12.0,12.0,7.000000000000001,12.0,15.0,"Direct genetic dependency and its glioma-selectivity carry the most weight since they are causal survival evidence, with tractability, safety window, and single-cell tumor specificity as necessary gates and mere expression enrichment down-weighted as weaker correlative support.",100
31,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and its glioma-selectivity are the strongest causal evidence a target is needed, tractability gates whether a small molecule is even feasible, and specificity/window/synthetic-lethality refine safety and stratification while mere expression enrichment is the weakest standalone signal.",100
32,expert,24.0,18.0,12.0,10.0,6.0,12.0,18.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal survival evidence, tractability is heavily weighted because an undruggable target is unusable, while correlative expression enrichment is discounted relative to specificity, safety window, and genotype-matched synthetic lethality.",100
33,expert,24.0,18.0,14.000000000000002,10.0,6.0,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal survival evidence, with synthetic lethality, small-molecule tractability, and therapeutic window next, while expression-based enrichment (weakest causal signal) is discounted.",100
34,expert,24.0,18.0,12.0,11.0,7.000000000000001,13.0,15.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal survival evidence, while tractability and therapeutic window gate real druggability, and enrichment/specificity provide weaker corroborating context.",100
35,expert,24.0,18.0,14.000000000000002,10.0,7.000000000000001,12.0,15.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, synthetic-lethality and small-molecule tractability are strong modifiers, while expression-based enrichment/specificity and safety window refine and de-risk rather than establish the target.",100
36,expert,24.0,18.0,12.0,12.0,8.0,11.0,15.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal survival evidence, tractability and safety/specificity are essential to make a target actionable, while mere expression enrichment is weakest as it is only correlative.",100
37,expert,24.0,18.0,12.0,11.0,7.000000000000001,13.0,15.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, with tractability and therapeutic window gating drug feasibility/safety, while enrichment is a weaker correlative signal that expression alone doesn't prove a vulnerability.",100
38,expert,24.0,18.0,12.0,10.0,7.000000000000001,14.000000000000002,15.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal evidence the tumor needs the gene, with tractability and therapeutic window gating druggability and safety, while expression-based enrichment is weighted lower as it is correlative rather than functional.",100
39,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal evidence the tumor needs the gene, with tractability and safety/window gating druggability, while mere expression enrichment is weakest as it is only correlative.",100
40,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Genetic dependency and glioma-selectivity carry the most weight as direct survival evidence, tractability and safety/window gate whether a hit is druggable, while enrichment is weighted lowest since over-expression alone weakly predicts a true vulnerability.",100
41,expert,24.0,18.0,12.0,12.0,8.0,11.0,15.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal survival evidence, with tractability and safety/specificity meaningfully weighted since an undruggable or CNS-toxic target cannot be developed, while correlative enrichment is downweighted.",100
42,expert,24.0,18.0,12.0,10.0,6.0,12.0,18.0,"Direct genetic dependency and its glioma-selectivity are the strongest causal evidence a tumor needs the gene, tractability gates whether a small molecule is even feasible, while expression-based enrichment is weighted least as it is only correlative.",100
43,expert,24.0,18.0,12.0,12.0,6.0,11.0,17.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal survival evidence, tractability is heavily weighted since undruggable targets are dead ends for small molecules, while mere tumor over-expression is downweighted as weaker, correlational evidence.",100
44,expert,24.0,18.0,12.0,12.0,6.0,12.0,16.0,"Direct genetic dependency and its glioma-selectivity anchor the score since they give causal evidence the tumor needs the gene without pan-essential toxicity, while tractability, safety window, tumor specificity, and synthetic lethality are strong modifiers and mere over-expression is the weakest correlate.",100
45,expert,24.0,18.0,14.000000000000002,11.0,6.0,12.0,15.0,"Direct genetic dependency and glioma-selectivity are weighted highest as causal survival evidence, tractability and therapeutic window ensure a druggable safe target, while mere tumor over-expression is lowest since it is correlative rather than a proven vulnerability.",100
46,expert,24.0,18.0,12.0,12.0,6.0,10.0,18.0,"Direct genetic dependency and its selectivity over pan-essential genes carry the most weight because they are the strongest causal evidence a glioma target is both needed and safely inhibitable, with tractability weighted heavily since an undruggable target is useless regardless of biology, while expression-based enrichment is the weakest standalone evidence.",100
47,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and glioma-selectivity carry the most causal weight for a real target, with tractability and safety/window gating druggability, while mere expression enrichment is weakest as it is only correlative.",100
48,expert,24.0,18.0,13.0,11.0,6.0,10.0,18.0,"Direct genetic dependency and glioma-selectivity are the strongest evidence a target is both needed and safely druggable, tractability gates whether a small molecule is even feasible, while mere over-expression is weak causal evidence and gets the least weight.",100
49,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Genetic dependency plus glioma-selectivity are the strongest causal evidence a tumor needs the gene and can be safely inhibited, while tractability gates whether a small molecule is even feasible; expression-based signals are supportive but weaker proxies.",100
50,expert,24.0,18.0,12.0,10.0,7.000000000000001,13.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, tempered by small-molecule tractability and safety, with expression-based enrichment weakest since it is only correlative.",100
51,expert,24.0,18.0,12.0,11.0,7.000000000000001,13.0,15.0,"Direct genetic dependency and its glioma-selectivity are the strongest evidence a tumor truly needs the target, while tractability, therapeutic window, and synthetic lethality gate real druggability and safety; expression-based signals are supporting rather than causal.",100
52,expert,24.0,18.0,12.0,11.0,7.000000000000001,13.0,15.0,"Direct genetic dependency and its glioma-selectivity carry the most weight because they most reliably predict a real, safely-inhibitable tumor need, followed by druggability, safety window, and genotype context, while mere expression enrichment is the weakest standalone evidence.",100
53,expert,24.0,18.0,12.0,11.0,7.000000000000001,10.0,18.0,"Direct genetic dependency and its glioma-selectivity are the strongest evidence a target is real and non-toxic, tractability gates whether a small molecule is even feasible, while expression-based enrichment is weighted lower as it is correlative rather than causal.",100
54,expert,24.0,18.0,12.0,12.0,6.0,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, small-molecule tractability and safety/window gate feasibility, while mere over-expression is weak standalone evidence.",100
55,expert,24.0,18.0,12.0,12.0,8.0,10.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, with tractability gating whether a small molecule is even feasible, while expression-based signals are supporting evidence.",100
56,expert,24.0,18.0,13.0,11.0,7.000000000000001,12.0,15.0,"Genetic dependency plus glioma-selectivity carry the strongest causal evidence a target is needed and safe to inhibit, with tractability and therapeutic window gating druggability, while expression-based enrichment is weighted lower as it is correlative rather than a demonstrated vulnerability.",100
57,expert,24.0,18.0,12.0,12.0,7.000000000000001,12.0,15.0,"Direct genetic dependency and its glioma-selectivity anchor the score since they give causal evidence the tumor needs the gene without pan-essential toxicity, while tractability and safety gate whether a small molecule is realistically achievable, and expression/genotype signals add supporting but weaker prioritization.",100
58,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Genetic dependency and its glioma-selectivity carry the most weight as direct evidence the tumor needs the gene, with tractability and safety window heavily weighted because an undruggable or brain-toxic target cannot become a therapy, while expression-based enrichment is weakest since it is only correlative.",100
59,expert,24.0,18.0,12.0,12.0,8.0,10.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most weight since they are the strongest causal evidence the tumor needs the gene, with tractability and safety/specificity terms ensuring the hit is actually druggable with an acceptable window.",100
60,expert,24.0,16.0,13.0,11.0,7.000000000000001,13.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, tractability and therapeutic window gate whether a small-molecule drug is feasible and safe, while expression-based enrichment is weakest as it is only correlative.",100
61,expert,24.0,16.0,12.0,12.0,8.0,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most weight because they are the strongest causal evidence the tumor needs the gene, while tractability and safety/specificity are heavily weighted as gating requirements for a viable small-molecule drug, and correlative enrichment is weighted least.",100
62,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal evidence the tumor needs the gene, followed by small-molecule tractability and safety/synthetic-lethality, with correlative expression enrichment weighted least.",100
63,expert,24.0,16.0,13.0,11.0,7.000000000000001,11.0,18.0,"Direct genetic dependency and its glioma-selectivity are the strongest causal evidence a tumor needs the gene, tractability gates whether a small molecule is even feasible, while expression-based enrichment is weighted lowest as it is correlative rather than causal.",100
64,expert,24.0,16.0,12.0,12.0,8.0,10.0,18.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, tractability gates whether a small molecule is even feasible, while expression-based enrichment is weighted lower as correlative rather than causal evidence.",100
65,expert,24.0,18.0,12.0,11.0,6.0,11.0,18.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, tractability gates whether a small molecule is even feasible, while mere over-expression is weakest as a standalone driver signal.",100
66,expert,24.0,18.0,12.0,10.0,6.0,12.0,18.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, followed by tractability and safety-relevant window/specificity, with mere tumor over-expression weighted least since it is only correlative.",100
67,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal survival evidence, tempered by tractability and safety (window/selectivity) since an undruggable or broadly-toxic target cannot become a drug, while mere expression enrichment is the weakest, most correlative signal.",100
68,expert,24.0,18.0,13.0,12.0,7.000000000000001,11.0,15.0,"Direct genetic dependency and its glioma-selectivity carry the most weight because they are the strongest causal evidence the tumor needs the gene, while tractability and synthetic lethality anchor druggability and genotype-stratified opportunity, and expression/safety metrics (enrichment weakest, as correlative) refine the therapeutic window.",100
69,expert,24.0,18.0,12.0,11.0,7.000000000000001,11.0,17.0,"Direct genetic dependency and glioma-selectivity carry the most weight as causal evidence the tumor needs the gene, with tractability and safety/specificity next since an undruggable or toxic target fails regardless, while mere over-expression is the weakest correlative signal.",100
70,expert,24.0,18.0,14.000000000000002,10.0,6.0,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal survival evidence, synthetic lethality and small-molecule tractability are near-essential enablers, while expression-based enrichment is weighted least as it is only correlative.",100
71,expert,24.0,18.0,13.0,10.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, tractability and therapeutic window gate deliverability, synthetic lethality adds genotype-stratified value, while expression-only enrichment is weighted least as it is weakest evidence of true dependence.",100
72,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, with tractability and safety/window gating druggability, while mere over-expression is weakest as it least predicts a true vulnerability.",100
73,expert,24.0,18.0,12.0,11.0,7.000000000000001,13.0,15.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight for a survival target, with tractability and therapeutic window gating whether a small molecule can safely exploit it, while mere expression enrichment is the weakest (correlative) signal.",100
74,expert,24.0,18.0,13.0,11.0,7.000000000000001,11.0,16.0,"Direct genetic dependency and glioma-selectivity carry the most causal weight, tractability and synthetic-lethality gate actual druggability/stratification, while expression-based signals (enrichment, specificity, window) are supportive but weaker proxies for a true vulnerability.",100
75,expert,24.0,18.0,12.0,12.0,8.0,10.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, tractability gates whether a small molecule is even feasible, while expression-based enrichment is weaker correlative evidence and thus ranked lowest.",100
76,expert,24.0,18.0,12.0,12.0,8.0,11.0,15.0,"Direct genetic dependency and its glioma-selectivity are the strongest survival-relevant evidence, tractability gates whether a small molecule is feasible, and specificity/window/enrichment/synthetic-lethality refine safety and stratification.",100
77,expert,24.0,18.0,12.0,12.0,7.000000000000001,12.0,15.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal survival evidence, while tractability, synthetic-lethal genotype stratification, tumor-cell specificity, and therapeutic window are strong secondary safety/druggability filters, with bulk over-expression weighted least as the weakest standalone signal.",100
78,expert,24.0,18.0,12.0,10.0,6.0,12.0,18.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, tractability and therapeutic window gate real druggability/safety, synthetic lethality adds genotype-stratified value, while expression-based signals (specificity, enrichment) are weaker standalone evidence.",100
79,expert,24.0,16.0,13.0,11.0,7.000000000000001,12.0,17.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, tractability and therapeutic window gate whether a real drug is achievable, while expression-based enrichment is weakest as it is correlative rather than a proven vulnerability.",100
80,expert,24.0,18.0,12.0,11.0,7.000000000000001,13.0,15.0,"Direct genetic dependency and its glioma-selectivity carry the strongest causal evidence a tumor needs the gene, while tractability, therapeutic window, and synthetic lethality gate whether that dependency can be safely and feasibly drugged; mere expression enrichment is weighted lowest as it is only correlative.",100
81,expert,24.0,18.0,12.0,12.0,7.000000000000001,12.0,15.0,"Direct genetic dependency and its glioma-selectivity carry the most weight since they are the strongest causal evidence a tumor needs the gene, with tractability and safety/specificity secondary but essential for actual small-molecule druggability, and correlative enrichment weighted least.",100
82,expert,24.0,18.0,12.0,12.0,8.0,10.0,16.0,"Direct genetic dependency and glioma-selectivity carry the most weight as causal evidence the tumor needs the target, with tractability and a safe therapeutic window gating whether a small molecule can exploit it, while expression/enrichment metrics are weaker correlative signals.",100
83,expert,24.0,18.0,12.0,12.0,7.000000000000001,10.0,17.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal survival evidence, followed by small-molecule tractability, with expression/window signals as supporting safety filters.",100
84,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal survival evidence, with tractability and safety (window/specificity) high because an undruggable or toxic target cannot become a drug, while correlative enrichment is weighted least.",100
85,expert,24.0,17.0,12.0,11.0,7.000000000000001,11.0,18.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, tractability gates whether a small-molecule drug is even feasible, and expression-based enrichment is weighted least as it is only correlative evidence of need.",100
86,expert,24.0,18.0,12.0,12.0,8.0,10.0,16.0,"Direct genetic dependency and its glioma-selectivity anchor the score, with tractability and safety/window as hard gates, while expression-based enrichment is weighted lower as supporting (not causal) evidence.",100
87,expert,24.0,18.0,12.0,12.0,8.0,10.0,16.0,"Direct genetic dependency and its glioma-selectivity are the strongest causal evidence a target is needed, tractability gates whether a small molecule is even feasible, while expression-based enrichment is weighted lower as correlative supporting evidence.",100
88,expert,24.0,16.0,12.0,12.0,8.0,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, tractability gates whether a small molecule is even feasible, while expression-based enrichment is the weakest standalone evidence of a true vulnerability.",100
89,expert,24.0,18.0,12.0,12.0,8.0,12.0,14.000000000000002,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal survival evidence, while tractability, safety window, genotype-context, and tumor-cell specificity are meaningful modifiers and mere over-expression is the weakest standalone signal.",100
90,expert,24.0,18.0,13.0,11.0,6.0,12.0,16.0,"Direct genetic dependency and its glioma-selectivity are the strongest causal evidence a tumor needs the gene, with tractability and safety window gating whether a small molecule is feasible, while mere expression enrichment (weak, indirect) is downweighted.",100
91,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal survival evidence, with tractability and safety (window plus tumor specificity) weighted next since an undruggable or CNS-toxic target fails regardless of biology, while correlative tumor enrichment is downweighted.",100
92,expert,24.0,18.0,14.000000000000002,10.0,7.000000000000001,12.0,15.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal survival evidence, followed by small-molecule tractability and genotype-stratified synthetic lethality, while expression-based enrichment/specificity and safety window are supportive but weaker predictors of a productive target.",100
93,expert,24.0,16.0,12.0,12.0,8.0,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal evidence the tumor needs the gene, with tractability essential for small-molecule feasibility and expression/safety terms weighted lower as supporting evidence.",100
94,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal evidence the tumor needs the gene, with tractability and safety/therapeutic-window next since an undruggable or toxic target cannot become a drug, while expression enrichment is weighted least as it is correlative rather than functional.",100
95,expert,24.0,18.0,12.0,12.0,6.0,10.0,18.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, tractability gates whether a small molecule is feasible at all, while correlational expression enrichment is weighted least because it doesn't establish tumor need.",100
96,expert,24.0,18.0,12.0,10.0,8.0,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the strongest causal evidence a tumor needs the target, while tractability and therapeutic window gate whether a real small-molecule drug can be made safely, and expression-based signals are supporting rather than decisive.",100
97,expert,24.0,18.0,12.0,12.0,6.0,10.0,18.0,"Direct genetic dependency and its glioma-selectivity are the strongest causal evidence a small-molecule target will work and be safe, with tractability weighted heavily since an undruggable target cannot yield a drug, while mere over-expression is the weakest standalone signal.",100
98,expert,24.0,17.0,13.0,11.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, with tractability and synthetic lethality also heavily favored since an undruggable or genotype-agnostic target fails, while expression-based enrichment is weakest as it is only correlative.",100
99,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and its glioma-selectivity are the strongest evidence a target is real and safe to hit, tractability gates whether a small molecule is feasible, while tumor enrichment (correlative, not causal) is weighted lowest.",100
