run,condition,dependency,selectivity,synthetic_lethality,tumor_specificity,tumor_enrichment,therapeutic_window,tractability,rationale,sum
13,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and concentration/specificity measures get the most weight since they most directly capture group-differential importance, while structural-annotation and low-value reference measures contribute supporting but weaker evidence.",100
14,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-differentiating measures (dependency, specificity, enrichment, selectivity) get the most weight since they capture group-relative discrimination, while subgroup association, reference-level lowness, and structural annotation are supporting factors.",100
15,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Differential-signal measures (dependency, specificity/concentration, group-comparison enrichment) carry the most weight, selectivity and subgroup association are moderate, while reference-level safety and structural annotation are supporting factors.",100
16,non_expert,22.0,18.0,12.0,16.0,14.000000000000002,10.0,8.0,"Contrast/differential-signal measures (dependency, selectivity, specificity, enrichment) carry the most weight since they directly capture group discrimination, while subgroup-association, reference-level, and structural-annotation properties are supportive.",100
17,non_expert,22.0,16.0,12.0,18.0,14.000000000000002,10.0,8.0,"Signal-strength and concentration/contrast measures (dependency, specificity, selectivity, enrichment) carry the most weight, while association, reference-low, and structural-annotation features get progressively less.",100
18,non_expert,20.0,15.0,12.0,18.0,15.0,12.0,8.0,"Signal-strength and specificity/enrichment measures that discriminate one group against others get the most weight, contrast and uniformity penalties get moderate weight, and the single structural/annotation property gets the least.",100
19,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and specificity measures (dependency, tumor_specificity) carry the most weight, contrast/selectivity measures are secondary, and the reference-baseline and structural-annotation properties get the least since they are supporting rather than primary discriminators.",100
20,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and concentration-in-one-group measures (dependency, tumor_specificity) carry the most weight, with contrast and selectivity measures next, and the single-property annotation feature weighted least.",100
21,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and specificity measures (dependency, tumor_specificity) carry the most weight, contrast/selectivity measures are secondary, and structural annotation is a lighter tiebreaker.",100
22,non_expert,22.0,18.0,12.0,16.0,14.000000000000002,10.0,8.0,"Group-contrast signal strength (dependency) and specificity/selectivity measures get the most weight since they most directly capture differential enrichment, while single-property annotation (tractability) and reference-level lowness (therapeutic_window) are weighted least as supporting filters.",100
23,non_expert,22.0,16.0,12.0,18.0,15.0,10.0,7.000000000000001,"Differential and concentration-of-signal measures (dependency, specificity, selectivity, enrichment) carry the most weight since they capture group-discriminating signal, while single-property and reference-baseline scores contribute supporting but lesser value.",100
24,non_expert,22.0,16.0,12.0,18.0,14.000000000000002,10.0,8.0,"Signal-strength and concentration measures (dependency, specificity, selectivity) get the most weight as primary discriminators, group-comparison and association scores get moderate weight, and the reference-low and structural-annotation properties get the least as supporting filters.",100
25,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal strength and concentration in one group (dependency, tumor_specificity) carry the most weight, contrast/selectivity metrics get moderate weight, and structural annotation is a lower-priority tiebreaker.",100
26,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal strength and concentration in one group (dependency, tumor_specificity) carry the most weight, contrast/selectivity measures are mid-tier, and structural annotation is a lighter supporting factor.",100
27,non_expert,20.0,15.0,12.0,18.0,15.0,12.0,8.0,"Signal-strength and specificity measures (dependency, tumor_specificity) get the most weight, contrast/selectivity measures a moderate share, and the single structural-annotation property the least.",100
28,non_expert,22.0,16.0,12.0,16.0,14.000000000000002,12.0,8.0,"Signal-strength/differential measures (dependency, specificity, selectivity, enrichment) carry the most weight, while categorical-association, reference-safety, and structural-annotation features get progressively less.",100
29,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Core between-group signal measures (dependency, specificity, enrichment) get the most weight, selectivity and subgroup association are important refinements, and reference-level and structural/annotation properties get less.",100
30,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-differential and concentration measures (dependency, specificity) get the most weight, contrast and selectivity measures are next, with reference-baseline and structural-annotation properties weighted least.",100
31,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and specificity measures (dependency, tumor_specificity) get the most weight, contrast/selectivity measures moderate weight, and single-property or structural annotation measures the least.",100
32,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Contrast/concentration signals (dependency, specificity, enrichment, selectivity) carry the most discriminative information, while single-group magnitude and structural-annotation properties are useful but weaker as standalone evidence.",100
33,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and concentration measures (dependency, specificity, selectivity, enrichment) carry the most weight, followed by subgroup association, with reference-level and structural-annotation properties weighted lowest.",100
34,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and specificity measures (dependency, tumor_specificity) get the most weight since they most directly indicate a meaningful group-differentiating feature, with contrast/subgroup measures next and the reference-level and structural-annotation measures weighted lower.",100
35,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Group-contrast signals (dependency, specificity, enrichment) carry the most weight as primary evidence, with selectivity/subgroup-association as supporting filters and reference-level and structural-annotation scores weighted lowest.",100
36,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and specificity/concentration metrics (dependency, tumor_specificity) carry the most weight, group-comparison and selectivity metrics rank next, while the reference-baseline and structural-annotation properties contribute least.",100
37,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal strength and specificity (dependency, tumor_specificity) carry the most weight, group-contrast and selectivity measures are moderately important, and the structural/annotation property is weighted least as a supporting filter.",100
38,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and specificity/concentration measures (dependency, tumor_specificity) weigh most since they directly capture differential group signal, while selectivity, subgroup association, and two-group enrichment provide corroborating contrast, and reference-level and structural-annotation scores get the least as they are supporting rather than discriminating features.",100
39,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Contrast/enrichment signals (dependency, specificity, enrichment) carry the most weight, selectivity and subgroup association are secondary safeguards, while safety-margin and structural annotation contribute least.",100
40,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-differential and concentration measures (dependency, tumor_specificity) carry the most weight, contrast and uniformity penalties are moderate, while reference-low and structural-annotation properties contribute least.",100
41,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-differential and specificity measures (dependency, tumor_specificity) carry the most weight, group-comparison and uniformity penalties are secondary, and reference-level and structural annotation features contribute least.",100
42,non_expert,22.0,15.0,12.0,18.0,16.0,10.0,7.000000000000001,"Signal-strength and concentration measures (dependency, tumor_specificity, tumor_enrichment) carry the most weight, selectivity and subgroup-association add differentiation, while the reference-level and structural-property measures are supporting factors.",100
43,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and specificity measures (dependency, tumor_specificity) get the most weight, group-contrast and penalty measures moderate weight, and the low-value reference and structural-annotation measures the least.",100
44,non_expert,22.0,16.0,12.0,16.0,14.000000000000002,12.0,8.0,"Signal-strength and specificity/selectivity measures (dependency, tumor_specificity, selectivity) carry the most weight as core discriminators, group-comparison and subgroup-association features are moderately weighted, and the structural/annotation property is weighted lowest as a supporting filter.",100
45,non_expert,22.0,16.0,12.0,16.0,14.000000000000002,12.0,8.0,"The strongest between-group signal (dependency) leads, with specificity/selectivity/enrichment forming a contrast-scoring middle tier, and the structural annotation property weighted lowest.",100
46,non_expert,22.0,14.000000000000002,12.0,18.0,16.0,10.0,8.0,"Core signal-strength and specificity/enrichment measures get the largest shares since they most directly capture group-differential relevance, while penalty and structural-annotation scores get less as supporting refinements.",100
47,non_expert,22.0,16.0,12.0,16.0,14.000000000000002,12.0,8.0,"Differential/relative-signal measures (dependency, selectivity, specificity, enrichment) carry the most weight since they capture group-distinguishing signal, while subgroup-association and reference-baseline scores get moderate weight and the single structural/annotation property gets the least.",100
48,non_expert,22.0,16.0,12.0,18.0,14.000000000000002,10.0,8.0,"Differential-signal measures (dependency, specificity, selectivity, enrichment) that distinguish one group from others carry the most weight, while single-group magnitude and structural-annotation properties receive less.",100
49,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and concentration measures (dependency, tumor_specificity) get the most weight, contrastive/selectivity measures moderate weight, and the low-value reference and structural-annotation scores least, since they are supporting rather than primary discriminators.",100
50,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal strength and concentration in a target group (dependency, tumor_specificity) carry the most weight, with contrast/selectivity metrics next, and single-property structural/reference measures weighted least.",100
51,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Differential-signal and concentration/specificity metrics (dependency, tumor_specificity) carry the most weight since they most directly indicate a targeted signal, while uniformity penalties and structural annotation are supporting factors.",100
52,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Differential/specificity signals (dependency, tumor_specificity, enrichment, selectivity) carry the most weight as they most directly capture group-distinguishing importance, while subgroup association, reference-level safety, and structural annotation are supporting factors.",100
53,non_expert,22.0,18.0,12.0,16.0,14.000000000000002,12.0,6.0,"Signal strength and specificity/selectivity carry the most weight since they most directly indicate a differentiating feature, while the annotation-only tractability property is weighted least.",100
54,non_expert,22.0,15.0,13.0,18.0,15.0,10.0,7.000000000000001,"Signal-strength and concentration measures (dependency, tumor_specificity) get the most weight, group-contrast and label-association measures moderate weight, and the single structural/reference measures the least.",100
55,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Differential/contrast signals (dependency, specificity, enrichment) carry the most weight as they directly capture group-relative signal, while structural annotation (tractability) is weighted least as a supporting property.",100
56,non_expert,22.0,18.0,12.0,16.0,14.000000000000002,10.0,8.0,"Signal-strength and specificity/selectivity metrics (dependency, selectivity, tumor_specificity, tumor_enrichment) carry the most weight since they directly capture group-differential signal, while safety-margin (therapeutic_window) and structural annotation (tractability) are supporting filters.",100
57,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Group-differential signal measures (dependency, specificity, enrichment) get the most weight, selectivity and subgroup association are moderate, while reference-baseline and structural-annotation properties are supporting factors.",100
58,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Group-discriminating signals (dependency, tumor_specificity) get the most weight, contrast/uniformity measures moderate weight, and single-entity structural annotation the least.",100
59,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and concentration measures (dependency, tumor_specificity) get the most weight, group-contrast and uniformity penalties are secondary, and the reference-level safety and structural-annotation measures get the least.",100
60,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and category-concentration measures (dependency, tumor_specificity) carry the most weight, contrast and selectivity metrics are secondary, and the reference-baseline and structural-annotation properties get the least.",100
61,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Group-contrast signal strength (dependency) and category concentration (tumor_specificity) are most discriminating, with selectivity/enrichment/subgroup-association as complementary contrasts, and reference-level and structural properties weighted lower as supporting filters.",100
62,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and concentration measures (dependency, tumor_specificity) get the most weight, contrast and selectivity measures a middle tier, while single-property annotation and reference-level measures (tractability, therapeutic_window) get the least.",100
63,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal strength and category concentration (dependency, tumor_specificity) carry the most weight, with selectivity, enrichment and subgroup association as supporting discriminators, and reference-level and structural annotation properties weighted lower as secondary filters.",100
64,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Differential-signal and concentration measures (dependency, tumor_specificity) carry the most weight as core discriminators, followed by contrast and selectivity scores, with reference-level and structural/annotation properties weighted least.",100
65,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Differential-signal and specificity/enrichment measures carry the most weight since they directly capture group-selective signal, while subgroup association and reference-level penalties get moderate weight and the structural annotation property least.",100
66,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and concentration measures (dependency, tumor_specificity) carry the most weight, contrast and uniformity penalties are secondary, and the single structural/annotation property receives the least.",100
67,non_expert,22.0,15.0,12.0,18.0,16.0,10.0,7.000000000000001,"Signal-strength and specificity/concentration measures carry the most weight since they most directly capture group-differential signal, while structural annotation and a single low-value reference score are weighted least.",100
68,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Group-contrast signals (dependency, tumor_specificity, enrichment) carry the most weight as core discriminative measures, while penalty/reference and static structural annotation features receive less.",100
69,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and specificity measures (dependency, tumor_specificity) are weighted highest since they most directly indicate a meaningful group-selective effect, while structural/annotation tractability contributes least.",100
70,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Differential/contrast signals (dependency, specificity, enrichment) capture the core group-discrimination goal and get the most weight, while selectivity and subgroup-association add refinement, and reference-level and structural-annotation properties contribute least.",100
71,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and specificity/enrichment measures that directly localize a feature to one group carry the most weight, selectivity and subgroup-association add discriminating value, while reference-level safety margin and static structural annotation contribute least.",100
72,non_expert,20.0,15.0,12.0,18.0,15.0,12.0,8.0,"Signal-strength and concentration measures (dependency, tumor_specificity) get the most weight, differential and penalty measures are mid-tier, and the structural/annotation property is weighted lowest as a supporting feature.",100
73,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Highest weight goes to signal-differential and concentration measures (dependency, tumor_specificity) that directly capture group-selective signal, moderate weight to comparative and association scores, and least to the single structural/annotation property.",100
74,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and concentration measures (dependency, specificity) carry the most weight, group-contrast and uniformity penalties are moderate, and reference-level and structural/annotation properties contribute least.",100
75,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-differentiation measures (dependency, specificity, enrichment, selectivity) receive the most weight since they most directly capture group-distinguishing importance, while association, reference-level, and structural/annotation properties get progressively less.",100
76,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and concentration measures (dependency, tumor_specificity) carry the most weight, contrastive and selectivity scores are moderate, and reference-level and structural-annotation scores contribute least.",100
77,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Group-contrast/differential signals (dependency, specificity, enrichment) carry the most weight, selectivity and subgroup association add discrimination, while a reference-baseline and a static structural property contribute least.",100
78,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-differential and concentration metrics (dependency, tumor_specificity) get the most weight, contrast/selectivity measures are moderate, and single-property annotation and reference-safety scores get the least.",100
79,non_expert,22.0,15.0,12.0,18.0,16.0,10.0,7.000000000000001,"Contrastive/specificity signals (dependency, tumor_specificity, tumor_enrichment) that quantify differential group behavior get the most weight, penalty and association terms moderate weight, and the single structural-annotation property least.",100
80,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and specificity measures (dependency, tumor_specificity) get the most weight, contrast/selectivity measures follow, and single-property annotation (tractability) gets the least.",100
81,non_expert,22.0,16.0,12.0,18.0,15.0,10.0,7.000000000000001,"Signal-strength and concentration/contrast measures (dependency, tumor_specificity, selectivity, tumor_enrichment) carry the most weight, while the reference-safety, subgroup-association, and structural-annotation measures get progressively less.",100
82,non_expert,20.0,15.0,12.0,18.0,15.0,12.0,8.0,"Signal-strength and concentration measures (dependency, tumor_specificity) carry the most weight, contrastive and penalty measures get moderate weight, and the structural/annotation property is weighted lowest as supporting evidence.",100
83,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Group-differential signal measures (dependency, specificity, enrichment) get the most weight as they directly capture discriminative signal, while penalty/uniformity and structural-annotation features get less.",100
84,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-differential and concentration measures (dependency, tumor_specificity) carry the most weight, contrast/selectivity measures next, and single-property or reference-baseline measures least.",100
85,non_expert,22.0,15.0,12.0,18.0,16.0,10.0,7.000000000000001,"Signal-strength and specificity/enrichment metrics (dependency, tumor_specificity, tumor_enrichment, selectivity) carry the most weight as direct discriminators, while subgroup-association, reference-safety, and structural-annotation features are supporting.",100
86,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and specificity measures (dependency, tumor_specificity) carry the most weight, followed by comparative and selectivity scores, with reference-baseline and structural-annotation features weighted lowest.",100
87,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and specificity/concentration measures (dependency, tumor_specificity) carry the most weight, group-contrast and uniformity penalties are secondary, and reference-level and structural/annotation properties get the least.",100
88,non_expert,22.0,15.0,12.0,17.0,14.000000000000002,12.0,8.0,"Contrast/specificity signals (dependency, specificity, enrichment, selectivity) carry the most weight as direct discriminators, while subgroup association, low-reference safety, and structural annotation are weighted progressively lower as supporting evidence.",100
89,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and specificity metrics (dependency, tumor_specificity) get the most weight, group-contrast and selectivity measures are moderate, while the reference-low and structural-annotation properties are supporting signals.",100
90,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and concentration measures (dependency, tumor_specificity) get the most weight as primary discriminators, contrast and uniformity penalties are secondary, and the reference-level and structural/annotation properties get the least since they are supporting rather than driving signals.",100
91,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal strength and specificity/concentration in one group carry the most weight, contrast and subgroup association are moderately important, and reference-level and structural annotation properties are supporting factors.",100
92,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Contrast/specificity signals (dependency, tumor_specificity, enrichment, selectivity) that identify group-differentiating features get the most weight, while the reference-safety and structural-annotation properties are supporting filters.",100
93,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Differential-signal measures (dependency, tumor_specificity, enrichment, selectivity) capturing group-relative concentration are weighted highest, with subgroup association and reference-low safety measures moderate, and the single structural/annotation property lowest.",100
94,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signals of group-relative contrast and single-category concentration (dependency, specificity) carry the most weight, followed by comparative and selectivity measures, with reference-baseline and structural-annotation properties weighted least.",100
95,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-differential measures (dependency, specificity, enrichment) get the most weight since they capture group-selective signal, selectivity and subgroup-association are secondary discriminators, and the reference-level and structural/annotation properties are supporting features.",100
96,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and concentration measures (dependency, tumor_specificity, selectivity) get the most weight since they most directly identify differential features, while structural/annotation tractability contributes least.",100
97,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and specificity/concentration measures carry the most weight since they most directly indicate a meaningful group-specific effect, while structural annotation is a lighter supporting factor.",100
98,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and specificity measures (dependency, tumor_specificity) carry the most weight, contrastive and selectivity measures moderate weight, and structural/reference-baseline features least.",100
99,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Group-contrast/differential signals (dependency, tumor_specificity, enrichment, selectivity) carry the most weight since they directly identify group-distinguishing features, while association, low-reference, and structural-annotation scores play supporting roles.",100
