arm,run,nom_rank,ident,modality,confidence,reason,gene
masked,1,5,CX793,inhibit,medium,"MTAP-deletion synthetic-lethal target with perfect tractability, high dependency and existing chemistry — the classic MAT2A/PRMT5-axis vulnerability in a common GBM lesion.",JUN
masked,1,6,CX749,inhibit,medium,"Approved-drug enzyme with high selectivity and perfect tractability, offering a repurposable, chemically mature inhibition target despite modest dependency.",EGLN1
masked,1,7,CX496,inhibit,medium,"Enzyme with existing chemistry, perfect tractability, high selectivity and an excellent safety window, making it a clean inhibition candidate despite lower raw dependency.",AMY2A
masked,1,8,CX177,inhibit,medium,"Highly tractable enzyme with good selectivity and tumor specificity, though a poor window (0.15) means it needs a targeted-delivery or dosing strategy.",CDC25B
masked,1,9,CX318,inhibit,medium,"Novel target with strong dependency, reasonable selectivity and good tractability/window; needs inhibitor-MoA development but the specificity profile is favorable.",VRK1
masked,1,10,CX947,inhibit,medium,"Excellent tumor specificity, near-perfect tumor enrichment and window with CDKN2A/B synthetic-lethality; the zero tractability is the main hurdle to overcome.",KIF18B
masked,1,11,CX415,inhibit,medium,"Best-in-list synthetic-lethality (0.72) with CDKN2A/B plus strong dependency, selectivity, specificity and window — biologically compelling but tract=0 makes it a chemistry-first bet.",C3orf38
masked,1,12,CX786,inhibit,low,"Novel candidate with strong tumor specificity and enrichment and reasonable tractability, a solid stratifiable inhibition target.",ELAVL1
masked,1,13,CX648,inhibit,low,"High selectivity and strong RB1 synthetic-lethality with good specificity and window offer genetic stratification, though tractability is unproven.",E2F3
masked,1,14,CX426,inhibit,low,"Very high dependency with PTEN synthetic-lethality (frequent GBM lesion) gives a stratifiable vulnerability, tempered by weak window and low tractability.",FERMT2
masked,1,15,CX698,inhibit,low,"High selectivity, excellent tumor enrichment and near-perfect window make it an attractive novel target if inhibitor chemistry can be established.",ERCC6L
masked,2,1,CX759,inhibit,high,"Approved-drug kinase with perfect tumor specificity (1.00), top-tier selectivity (0.93) and full tractability (1.00) — a clean, directly druggable inhibition target.",PDGFRA
masked,2,2,CX883,inhibit,high,"Approved-drug kinase with near-perfect selectivity (0.97), strong tumor specificity and full tractability, backed by an established chemical MoA.",MET
masked,2,3,CX254,inhibit,medium,"Balanced novel target combining good dependency (0.71), selectivity (0.78), the highest SL signal in the top tier (0.54 vs CDKN2B/NF1) and decent tractability (0.80).",ITGB5
masked,2,4,CX793,inhibit,medium,"Strong dependency (0.77), high selectivity and full tractability with an MTAP-deletion synthetic-lethal handle relevant to a common GBM lesion — though the narrow window (0.27) warrants care.",JUN
masked,2,5,CX657,inhibit,medium,"Fully tractable kinase (1.00) with high dependency (0.75), maximal tumor enrichment (0.99), good window (0.79) and an RB1 synthetic-lethal handle; poor selectivity is the main caveat.",CDK2
masked,2,6,CX318,inhibit,medium,"High tumor-selective dependency (0.90) with good tractability (0.80) and a reasonable therapeutic window (0.73), a strong novel single-agent candidate.",VRK1
masked,2,7,CX749,inhibit,medium,"Approved-drug enzyme with high selectivity (0.88) and full tractability (1.00); a repurposing-friendly, chemically de-risked target despite modest dependency.",EGLN1
masked,2,8,CX786,inhibit,medium,"Well-rounded novel target with good selectivity (0.82), high tumor specificity (0.85) and enrichment (0.93) and moderate tractability (0.55).",ELAVL1
masked,2,9,CX870,inhibit,low,High dependency (0.89) with good selectivity (0.71) and a PTEN synthetic-lethal handle relevant to a frequent GBM lesion; tractability of 0 is the limiting concern.,RPP25L
masked,2,10,CX426,inhibit,low,"Very high dependency (0.93) with a PTEN synthetic-lethal context, though modest selectivity and low tractability temper enthusiasm.",FERMT2
masked,2,11,CX177,inhibit,low,Fully tractable enzyme (1.00) with good selectivity (0.80) and tumor specificity (0.88); the very narrow window (0.15) requires an inhibitor MoA to be developed but the druggability is attractive.,CDC25B
masked,2,12,CX199,inhibit,low,Strong SL signal (0.66 vs CDKN2A/B) with high tumor specificity (0.92) and enrichment (0.90); near-zero selectivity and common-essential flag are cautions but the SL context provides a therapeutic angle.,WDR77
masked,2,13,CX648,inhibit,low,"High selectivity (0.87), good SL against RB1 (0.62) and solid tumor specificity/window; tractability of 0 means an inhibitor tool would need to be developed.",E2F3
masked,2,14,CX801,inhibit,low,"Balanced novel profile — good selectivity (0.77), decent dependency (0.67) and reasonable window (0.75) — a plausible single-agent candidate despite low tractability.",PDCL3
masked,2,15,CX496,inhibit,low,"Fully tractable enzyme (1.00) with good selectivity, high window (0.94) and tumor specificity; low dependency and zero tumor enrichment are weaknesses but the clean druggability keeps it in contention.",AMY2A
masked,3,1,CX759,inhibit,high,"Approved-drug kinase with perfect tumor specificity (1.00), perfect tractability, high selectivity (0.93) and a real inhibitor MoA — a directly actionable, well-behaved target.",PDGFRA
masked,3,2,CX883,inhibit,high,"Approved-drug kinase with near-perfect selectivity (0.97), perfect tractability and solid tumor specificity/enrichment, giving a clean inhibitable profile.",MET
masked,3,3,CX793,inhibit,high,"Strong dependency (0.77), perfect tractability and MTAP-deletion synthetic lethality (a validated GBM-relevant vulnerability), though the low window (0.27) needs mitigation.",JUN
masked,3,4,CX657,inhibit,medium,"Has chemistry, kinase, perfect tractability, high dependency (0.75) and RB1 synthetic lethality with excellent tumor enrichment and window, despite modest selectivity.",CDK2
masked,3,5,CX254,inhibit,medium,"Balanced high-composite candidate with good dependency (0.71), strong SL (0.54) against CDKN2B/NF1 lesions, high enrichment and decent tractability (0.80).",ITGB5
masked,3,6,CX749,inhibit,medium,"Approved-drug enzyme with high selectivity (0.88), perfect tractability and clean multi-category profile, making it a low-risk repurposing-style inhibition target.",EGLN1
masked,3,7,CX318,inhibit,medium,"Very high dependency (0.90) with good selectivity, reasonable window (0.73) and tractability (0.80), a strong essential-target candidate if an inhibitor MoA can be developed.",VRK1
masked,3,8,CX177,inhibit,medium,"Druggable enzyme (tract 1.00) with strong tumor specificity (0.88) and good selectivity, though the very low window (0.15) is the key liability to resolve.",CDC25B
masked,3,9,CX426,inhibit,medium,"Very high dependency (0.93) with PTEN synthetic lethality relevant to a common GBM lesion and good tumor enrichment, worth pursuing despite low tractability (0.25).",FERMT2
masked,3,10,CX415,inhibit,medium,"Best synthetic-lethality score in the list (0.72) against CDKN2A/B deletion with strong dependency, selectivity, specificity and window — mechanistically excellent but tractability is 0.00, so a chemistry program is required.",C3orf38
masked,3,11,CX947,inhibit,low,"Excellent tumor specificity (0.87), enrichment (0.99) and window (0.96) with CDKN2A/B SL, but zero tractability makes it a high-value, high-effort candidate.",KIF18B
masked,3,12,CX496,inhibit,low,"Druggable enzyme (tract 1.00) with good selectivity, tumor specificity and an excellent window (0.94); low dependency is the caveat but the safety/druggability profile is attractive.",AMY2A
masked,3,13,CX786,inhibit,low,"Balanced selectivity (0.82), tumor specificity (0.85) and enrichment (0.93) with moderate dependency and partial tractability (0.55), a reasonable inhibition target.",ELAVL1
masked,3,14,CX648,inhibit,low,High selectivity (0.87) with strong SL (0.62) against RB1 loss and good tumor specificity/window; needs new chemistry (tract 0.00).,E2F3
masked,3,15,CX243,inhibit,low,"Approved-drug kinase with high selectivity (0.91), excellent tumor specificity and perfect tractability — clinically ready chemistry — but flagged for CNS-safety risk and a poor window that must be weighed.",FGFR1
masked,4,1,CX759,inhibit,high,"Approved-drug kinase with top-tier tractability (1.0), excellent selectivity (0.93) and perfect tumor specificity (1.0) — a directly druggable, low-risk small-molecule target.",PDGFRA
masked,4,2,CX883,inhibit,high,"Approved-drug kinase with outstanding selectivity (0.97), perfect tractability and good tumor enrichment — a well-de-risked inhibitor target.",MET
masked,4,3,CX793,inhibit,high,"MTAP-deletion synthetic-lethal target with high dependency (0.77) and perfect tractability, addressing a recurrent GBM lesion via the PRMT5/MAT2A axis.",JUN
masked,4,4,CX657,inhibit,medium,"Fully tractable (1.0) druggable kinase with strong dependency, RB1 synthetic-lethality and high tumor enrichment plus a decent therapeutic window.",CDK2
masked,4,5,CX254,inhibit,medium,"Strong composite with balanced dependency, high SL scores against CDKN2B/NF1 and good selectivity — a compelling CDK4/6-axis-style vulnerability worth chemistry investment.",ITGB5
masked,4,6,CX415,inhibit,medium,"Best-in-list SL (0.72) against CDKN2A/2B deletion with excellent selectivity, tumor specificity, enrichment and window despite needing de novo chemistry.",C3orf38
masked,4,7,CX947,inhibit,medium,"Excellent tumor specificity (0.87), enrichment (0.99), near-perfect window (0.96) and CDKN2A/2B SL; a clean-profile candidate limited only by tractability.",KIF18B
masked,4,8,CX749,inhibit,medium,Approved-drug enzyme with high selectivity (0.88) and perfect tractability offering a fast repurposing path despite modest dependency.,EGLN1
masked,4,9,CX496,inhibit,medium,"Perfectly tractable enzyme (has-chemistry) with strong selectivity, tumor specificity and an excellent window (0.94), a safe inhibitable target.",AMY2A
masked,4,10,CX318,inhibit,medium,"High dependency (0.90) novel target with acceptable window and good tractability (0.80), a promising though mechanistically less-characterized inhibition candidate.",VRK1
masked,4,11,CX648,inhibit,medium,"High selectivity (0.87), strong RB1 synthetic-lethality (0.62) and good tumor/window profile make this a mechanistically attractive vulnerability.",E2F3
masked,4,12,CX698,inhibit,low,"Very clean profile — high selectivity (0.90), tumor enrichment (0.98) and near-perfect window (0.96) — worthy of chemistry investment despite zero current tractability.",ERCC6L
masked,4,13,CX875,inhibit,medium,"Second MTAP-deletion SL candidate with good selectivity and window, reinforcing a recurrent, patient-selectable GBM vulnerability.",RPL26L1
masked,4,14,CX177,inhibit,low,"Fully tractable enzyme with good selectivity and tumor specificity, a druggable candidate if the very narrow window (0.15) can be mitigated.",CDC25B
masked,4,15,CX786,inhibit,low,"Balanced novel target with good tumor specificity (0.85), enrichment (0.93) and moderate tractability, a reasonable inhibition candidate.",ELAVL1
masked,5,1,CX759,inhibit,high,"Approved kinase drug with top-tier selectivity (0.93), perfect tumor specificity (1.00) and full tractability, giving a repurposable, druggable entry point despite modest dependency.",PDGFRA
masked,5,2,CX883,inhibit,high,"Approved kinase drug with near-perfect selectivity (0.97) and full tractability plus solid tumor enrichment, another strong repurposing candidate with a proven small-molecule MoA.",MET
masked,5,3,CX793,inhibit,high,"MTAP-deletion synthetic-lethal target with high dependency (0.77), strong selectivity and full tractability, matching the validated PRMT5/MAT2A axis in MTAP-null GBM.",JUN
masked,5,4,CX657,inhibit,medium,"Fully tractable kinase with high dependency, top tumor enrichment (0.99) and a good therapeutic window, actionable now despite common-essential/selectivity caveats.",CDK2
masked,5,5,CX254,inhibit,medium,"Balanced NOVEL candidate with strong SL against CDKN2B/NF1 lesions, good dependency (0.71) and reasonable tractability (0.80), though the inhibitor MoA still needs defining.",ITGB5
masked,5,6,CX749,inhibit,medium,"Approved-drug enzyme with high selectivity (0.88) and full tractability, offering a druggable, safe-ish repurposing option despite lower dependency.",EGLN1
masked,5,7,CX243,inhibit,medium,"Approved kinase drug with excellent tumor specificity (0.94) and selectivity (0.91) and full tractability, worth pursuing if CNS penetration/safety can be managed.",FGFR1
masked,5,8,CX177,inhibit,medium,Tractable enzyme with strong tumor specificity (0.88) and selectivity; a real small-molecule enzyme target if a proper inhibitory chemistry and window are established.,CDC25B
masked,5,9,CX318,unknown,medium,High dependency (0.90) NOVEL candidate with decent tractability (0.80) and window; a promising anchor if an inhibitor mechanism can be developed.,VRK1
masked,5,10,CX496,inhibit,low,Fully tractable enzyme with excellent window (0.94) and good tumor specificity; attractive chemically though the low tumor enrichment (0.00) and dependency temper enthusiasm.,AMY2A
masked,5,11,CX426,inhibit,medium,PTEN-loss synthetic-lethal target with very high dependency (0.93); mechanistically compelling for PTEN-null GBM though tractability (0.25) is a real hurdle.,FERMT2
masked,5,12,CX415,degrade,low,"Best-balanced NOVEL SL:CDKN2A/2B candidate on evidence (high dep, SL, window, enrichment) — flagged for tractability=0.00, so nominated only if a degrader/chemical handle can be found.",C3orf38
masked,5,13,CX947,degrade,low,"Strong tumor specificity (0.87), enrichment (0.99) and excellent window (0.96) with CDKN2A/2B SL, a high-priority target contingent on solving its zero tractability.",KIF18B
masked,5,14,CX199,inhibit,low,Robust CDKN2A/2B SL with high tumor specificity (0.92) and window; worth mechanistic follow-up despite near-zero selectivity and common-essential flag.,WDR77
masked,5,15,CX562,inhibit,low,Enzyme with strong tumor enrichment (0.96) and window (0.90) and some chemistry; a plausible chemically-tractable target pending a defined inhibitory MoA.,BRCA1
masked,6,1,CX759,inhibit,high,"Approved-drug kinase with perfect tractability (1.00), top-tier selectivity (0.93) and tumor specificity (1.00), decent dependency and enrichment — a directly druggable, de-risked inhibition target.",PDGFRA
masked,6,2,CX883,inhibit,high,"Approved-drug kinase with near-perfect selectivity (0.97) and full tractability (1.00), good tumor specificity and enrichment with a workable therapeutic window.",MET
masked,6,3,CX793,inhibit,high,"Highly tractable (1.00) MTAP-deletion synthetic-lethal target (a validated GBM vulnerability) with strong dependency (0.77) and good selectivity, well suited to small-molecule inhibition despite modest annotated window.",JUN
masked,6,4,CX657,inhibit,medium,"Fully tractable (1.00) kinase with RB1 synthetic-lethality, high dependency and near-max tumor enrichment plus a good window, actionable by inhibition.",CDK2
masked,6,5,CX749,inhibit,medium,"Approved-drug enzyme with full tractability (1.00) and strong selectivity (0.88), a druggable inhibition target though modest dependency tempers enthusiasm.",EGLN1
masked,6,6,CX254,inhibit,medium,"Strong multi-axis profile (dep 0.71, SL with CDKN2B/NF1, good enrichment) and reasonable tractability (0.80), a promising GBM-lesion-matched vulnerability.",ITGB5
masked,6,7,CX965,unknown,medium,"Best composite with outstanding tumor enrichment (0.99) and window (0.95) and CDKN2A/B synthetic-lethality, but no established inhibitor mechanism so modality/tractability must be resolved first.",KIF2C
masked,6,8,CX496,inhibit,medium,"Fully tractable (1.00) enzyme with excellent window (0.94), high selectivity and tumor specificity — a clean druggable candidate, though low dependency and zero tumor enrichment need validation.",AMY2A
masked,6,9,CX318,unknown,medium,High dependency (0.90) with decent tractability (0.80) and a passable window; a strong essentiality signal worth pursuing once an inhibitor mechanism is defined.,VRK1
masked,6,10,CX177,inhibit,medium,Fully tractable (1.00) enzyme with good selectivity and tumor specificity; druggable in principle but the very poor window (0.15) demands careful margin work.,CDC25B
masked,6,11,CX415,degrade,low,"Excellent biology (dep 0.76, SL 0.72 with CDKN2A/B, enrichment 0.96, window 0.81) makes it a top target IF the zero-tractability barrier can be solved, e.g. via degrader approaches.",C3orf38
masked,6,12,CX947,degrade,low,"Standout tumor enrichment (0.99) and window (0.96) with CDKN2A/B synthetic-lethality, but tract=0.00 means small-molecule feasibility is unproven and likely needs a degrader strategy.",KIF18B
masked,6,13,CX257,inhibit,low,"Reasonable tractability (0.80) and good selectivity with solid tumor enrichment; modest dependency (0.21) is the main weakness, worth exploratory inhibition.",TEAD1
masked,6,14,CX562,inhibit,low,Enzyme with strong window (0.90) and tumor enrichment (0.96) and moderate tractability (0.40); a metabolic vulnerability candidate needing mechanism confirmation.,BRCA1
masked,6,15,CX786,unknown,low,"Balanced profile with good tumor enrichment (0.93), selectivity (0.82) and specificity plus moderate tractability (0.55); a solid second-tier candidate pending MoA definition.",ELAVL1
masked,7,1,CX759,inhibit,high,"Approved-drug kinase with perfect tumor-specificity (1.00), top-tier selectivity (0.93) and full tractability, giving a directly actionable inhibitor with a clean profile.",PDGFRA
masked,7,2,CX883,inhibit,high,"Approved-drug kinase with near-perfect selectivity vs pan-essentials (0.97), good tumor specificity and full tractability — a genuinely druggable, low-off-target inhibitor.",MET
masked,7,3,CX793,inhibit,medium,"Strong dependency (0.77), high selectivity and full tractability with an MTAP-deletion synthetic-lethal handle (a validated GBM-relevant vulnerability), though the narrow window (0.27) warrants care.",JUN
masked,7,4,CX657,inhibit,medium,"Druggable kinase (tract 1.00) with high dependency, wide window (0.79) and an RB1 synthetic-lethal handle; low selectivity flags off-target risk but the chemistry and window are attractive.",CDK2
masked,7,5,CX254,inhibit,medium,"Balanced high-value profile (dep 0.71, selec 0.78, SL 0.54, enr 0.89) with CDKN2B/NF1 synthetic lethality, though it needs new inhibitor chemistry.",ITGB5
masked,7,6,CX749,inhibit,medium,"Approved-drug enzyme with high selectivity (0.88) and full tractability — an immediately repurposable, tractable inhibitor despite modest dependency.",EGLN1
masked,7,7,CX318,inhibit,medium,"High dependency (0.90) with good tractability (0.80), decent window and selectivity, making it a solid though as-yet mechanistically undefined novel inhibitor target.",VRK1
masked,7,8,CX965,unknown,medium,"Best composite with outstanding tumor enrichment (0.99) and window (0.95) plus CDKN2A/B synthetic lethality, but 'no-inhibitor-MoA' means the modality (likely a non-inhibitor small-molecule strategy) is unproven.",KIF2C
masked,7,9,CX947,inhibit,low,"Excellent window (0.96), enrichment (0.99) and tumor specificity with CDKN2A/B synthetic lethality; strong biology but tractability is 0.00 so chemistry is the gating risk.",KIF18B
masked,7,10,CX177,inhibit,low,"Fully tractable enzyme with high tumor specificity and selectivity, offering clear chemistry; the very narrow window (0.15) is the main concern to de-risk.",CDC25B
masked,7,11,CX496,inhibit,low,"Fully tractable enzyme with wide window (0.94) and high selectivity and tumor specificity — druggable and safe-looking, though low dependency and zero tumor enrichment temper enthusiasm.",AMY2A
masked,7,12,CX786,inhibit,low,"Strong tumor enrichment (0.93), specificity and selectivity with partial tractability, a well-rounded novel inhibitor candidate needing mechanism definition.",ELAVL1
masked,7,13,CX243,inhibit,low,"Approved-drug kinase with excellent selectivity (0.91) and tumor specificity (0.94) and full tractability, but the CNS-safety-risk flag and very poor window (0.16) require serious caution before pursuit.",FGFR1
masked,7,14,CX648,inhibit,low,"High selectivity (0.87) and best-in-class SL score (0.62) via RB1 synthetic lethality with good window, though tractability 0.00 makes it a chemistry-dependent bet.",E2F3
masked,7,15,CX698,inhibit,low,"Outstanding window (0.96), enrichment (0.98) and selectivity (0.90) with strong tumor specificity — a very clean safety/enrichment profile that justifies chemistry investment despite tract 0.00.",ERCC6L
masked,8,1,CX759,inhibit,high,"Approved-drug kinase with perfect tractability (1.00), top-tier selectivity (0.93) and maximal tumor specificity (1.00) plus a positive window (0.63), making it the most directly actionable inhibitor target.",PDGFRA
masked,8,2,CX883,inhibit,high,"Approved-drug kinase with near-perfect selectivity (0.97), full tractability (1.00) and solid tumor specificity/enrichment, giving a clean, druggable inhibition profile.",MET
masked,8,3,CX657,inhibit,medium,"Fully tractable kinase (1.00) with high dependency (0.75), top tumor enrichment (0.99) and good window (0.79), and an RB1 synthetic-lethal handle despite lower selectivity.",CDK2
masked,8,4,CX254,inhibit,medium,"Strong dependency (0.71), meaningful synthetic-lethality (0.54) against CDKN2B/NF1 lesions and good tumor enrichment (0.89) with decent tractability (0.80).",ITGB5
masked,8,5,CX793,inhibit,medium,"High dependency (0.77) and full tractability (1.00) with an MTAP-deletion synthetic-lethal context that is a well-precedented GBM vulnerability, though the poor window (0.27) needs mitigation.",JUN
masked,8,6,CX318,inhibit,medium,"High dependency (0.90) with reasonable tractability (0.80) and a favorable window (0.73), a solid novel enzyme/target candidate once an inhibitor MoA is developed.",VRK1
masked,8,7,CX749,inhibit,medium,"Approved-drug enzyme with strong selectivity (0.88) and full tractability (1.00), an immediately repurposable inhibition candidate despite modest dependency.",EGLN1
masked,8,8,CX496,inhibit,medium,"Full tractability (1.00), excellent window (0.94) and high tumor specificity (0.85) as a druggable enzyme, though weak dependency (0.34) and zero tumor enrichment temper enthusiasm.",AMY2A
masked,8,9,CX947,inhibit,medium,"Excellent tumor specificity (0.87), top enrichment (0.99), best-in-class window (0.96) and a CDKN2A/B synthetic-lethal handle; the zero tractability is the only barrier.",KIF18B
masked,8,10,CX415,inhibit,medium,"Best-balanced novel profile with high SL (0.72), strong dependency (0.76), tumor specificity (0.82) and window (0.81) against CDKN2A/B, worth chemistry investment despite tract=0.",C3orf38
masked,8,11,CX177,inhibit,low,Fully tractable enzyme (1.00) with good selectivity (0.80) and tumor specificity (0.88); needs inhibitor MoA and window improvement (0.15) but chemistry is favorable.,CDC25B
masked,8,12,CX786,inhibit,low,"Balanced novel profile with high tumor specificity (0.85), strong enrichment (0.93) and partial tractability (0.55), a reasonable medium-risk inhibition candidate.",ELAVL1
masked,8,13,CX257,inhibit,low,"Has-chemistry (tract 0.80) with strong selectivity (0.83) and good tumor enrichment (0.85), a tractable novel target though low dependency (0.21) is a concern.",TEAD1
masked,8,14,CX648,inhibit,low,"High selectivity (0.87) and meaningful SL (0.62) against RB1 with good tumor specificity/window, a promising synthetic-lethal concept pending chemistry.",E2F3
masked,8,15,CX698,inhibit,low,"Excellent selectivity (0.90), tumor enrichment (0.98) and window (0.96) as a clean novel target; nominated as a chemistry-development lead despite tract=0.",ERCC6L
masked,9,1,CX759,inhibit,high,"Approved-drug kinase with perfect tractability, top selectivity (0.93) and tumor specificity (1.00) plus a reasonable window, making it the most immediately actionable inhibitor.",PDGFRA
masked,9,2,CX883,inhibit,high,"Approved-drug kinase with near-perfect selectivity (0.97), full tractability and solid tumor enrichment, offering a clean inhibition path with an established chemical starting point.",MET
masked,9,3,CX749,inhibit,medium,"Approved-drug enzyme with high selectivity (0.88) and full tractability; modest dependency is offset by an existing, drug-like chemical matter and good tumor specificity.",EGLN1
masked,9,4,CX793,inhibit,high,"MTAP-deletion synthetic-lethal target (the classic PRMT5/MAT2A vulnerability) with strong dependency (0.77), high selectivity and full tractability, addressing a genetically defined GBM subset.",JUN
masked,9,5,CX657,inhibit,medium,"Fully tractable kinase with strong dependency (0.75), top tumor enrichment (0.99) and a good window, exploiting RB1 synthetic lethality despite lower selectivity that warrants biomarker stratification.",CDK2
masked,9,6,CX254,inhibit,medium,"Balanced profile with good dependency (0.71), high SL score (0.54) against CDKN2B/NF1 lesions and decent tractability (0.80), a strong genetically-anchored candidate needing MoA development.",ITGB5
masked,9,7,CX318,inhibit,medium,"High dependency (0.90) with balanced selectivity and window and reasonable tractability (0.80), a clean non-TME-dominated novel target worth chemical MoA exploration.",VRK1
masked,9,8,CX965,unknown,medium,"Best overall composite with exceptional tumor enrichment (0.99) and window (0.95) plus CDKN2A/B synthetic lethality, though 'no-inhibitor-MoA' means chemistry must be created de novo.",KIF2C
masked,9,9,CX496,inhibit,low,Fully tractable enzyme with an excellent therapeutic window (0.94) and high tumor specificity; low dependency and zero tumor-enrichment temper enthusiasm but druggability is a major asset.,AMY2A
masked,9,10,CX177,inhibit,low,"Fully tractable enzyme with good tumor specificity (0.88) and selectivity (0.80), a druggable metabolic node whose very narrow window (0.15) is the key liability to resolve.",CDC25B
masked,9,11,CX426,inhibit,low,"Very high dependency (0.93) with PTEN synthetic lethality relevant to a large GBM subset, but low tractability (0.25) and no inhibitor MoA make it a longer-term medicinal-chemistry effort.",FERMT2
masked,9,13,CX648,inhibit,low,"Strong SL score (0.62) against RB1-deficient GBM with high selectivity (0.87) and good tumor specificity, a compelling genetically-defined target that needs tool-compound development (tract=0).",E2F3
masked,9,14,CX870,inhibit,low,"High dependency (0.89) with PTEN synthetic lethality and good selectivity, a mechanistically attractive novel target whose zero tractability is the main obstacle.",RPP25L
masked,9,15,CX786,inhibit,low,"Balanced novel target with strong tumor enrichment (0.93), good selectivity (0.82) and tumor specificity, moderate tractability offering a reasonable starting point for MoA work.",ELAVL1
masked,10,1,CX759,inhibit,high,"Approved-drug kinase with perfect tumor specificity (1.00), high selectivity vs pan-essential (0.93), and top small-molecule tractability (1.00) — a well-validated, directly druggable inhibition target.",PDGFRA
masked,10,2,CX883,inhibit,high,"Approved-drug kinase with near-perfect selectivity (0.97), strong tumor specificity and enrichment, and full tractability (1.00) — a mature, low-risk inhibitor candidate.",MET
masked,10,3,CX793,inhibit,high,"MTAP-deletion synthetic-lethal target (the PRMT5/MAT2A axis) with high dependency (0.77), strong selectivity, and full tractability, addressing a common GBM co-deletion — though narrow window (0.27) needs monitoring.",JUN
masked,10,4,CX415,inhibit,medium,"Highest SL score (0.72) against CDKN2A/B loss plus strong dependency, selectivity, tumor enrichment and window — biologically compelling, though tractability is 0.00 so a tool compound must be found.",C3orf38
masked,10,5,CX254,inhibit,medium,"Strong SL (0.54) against CDKN2B/NF1 lesions with good dependency (0.71), tumor enrichment (0.89) and decent tractability (0.80) — a mechanistically grounded synthetic-lethal target.",ITGB5
masked,10,6,CX965,inhibit,medium,Top composite driven by exceptional tumor enrichment (0.99) and therapeutic window (0.95) with CDKN2A/B synthetic lethality; a leading novel target but confirm an inhibitory (not restorative) mechanism given no-inhibitor-MoA flag.,KIF2C
masked,10,7,CX947,inhibit,medium,"Excellent window (0.96), tumor enrichment (0.99) and specificity (0.87) with CDKN2A/B synthetic lethality — an attractive novel target pending chemistry development (tract 0.00).",KIF18B
masked,10,8,CX648,inhibit,medium,High SL (0.62) against RB1 loss with strong selectivity (0.87) and good window/specificity — a promising synthetic-lethal node once a small molecule is developed.,E2F3
