arm,run,nom_rank,ident,modality,confidence,reason,gene
named,3,6,KIF18B,inhibit,medium,"High tumor specificity/enrichment and near-perfect window as a mitotic kinesin, but current tractability is essentially zero.",KIF18B
named,3,7,TEAD1,inhibit,medium,Hippo/YAP effector with a validated lipid-pocket palmitoylation site and clinical-stage TEAD inhibitors relevant to mesenchymal GBM.,TEAD1
named,3,8,EGLN1,inhibit,medium,"Druggable prolyl-hydroxylase enzyme with approved-drug chemistry, offering a defined active site for GBM hypoxia biology.",EGLN1
named,3,9,CDK7,inhibit,medium,"Fully tractable transcriptional CDK with covalent inhibitors and a PTEN-loss synthetic-lethal angle, tempered by pan-essential toxicity risk.",CDK7
named,3,10,VRK1,inhibit,medium,"High-dependency serine/threonine kinase with a druggable ATP pocket and reasonable window, attractive as a novel enzyme target.",VRK1
named,3,11,FGFR1,inhibit,low,"Tumor-specific GBM RTK with approved inhibitors, but its poor window and CNS-safety flag lower confidence.",FGFR1
named,3,12,PTPN11,inhibit,low,Fully tractable allosteric SHP2 target (approved-class chemistry) sitting downstream of RTK signaling in GBM.,PTPN11
named,3,13,ELAVL1,inhibit,low,"Tumor-enriched RNA-binding oncoprotein (HuR) with plausible small-molecule interference, though RBP druggability remains hard.",ELAVL1
named,3,14,ERCC6L,inhibit,low,"Very high tumor specificity/enrichment and wide window as a mitotic DNA translocase, held back by unproven chemistry.",ERCC6L
named,3,15,GPX4,inhibit,low,"High-dependency ferroptosis regulator with an inducible-death rationale for GBM, but narrow window and CNS-safety concerns require caution.",GPX4
named,4,1,PDGFRA,inhibit,high,"GBM-defining RTK amplification/mutation with excellent selectivity, tumor specificity, full tractability, and approved kinase inhibitors — a directly druggable oncogenic driver.",PDGFRA
named,4,2,MET,inhibit,high,"Recurrent RTK driver (amplification/exon-14) in a GBM subset with top-tier selectivity, full tractability, and multiple approved/clinical kinase inhibitors.",MET
named,4,3,CDK2,inhibit,high,"Well-validated cell-cycle kinase with mature chemistry, RB1/cyclin-E synthetic lethality, and strong tumor enrichment — window is workable with selective inhibitors.",CDK2
named,4,4,KIF18A,inhibit,medium,Chromosomally-unstable-tumor-selective mitotic kinesin with a clinically de-risked inhibitor class (motor ATPase is a genuine small-molecule MoA) and outstanding therapeutic window despite the common-essential flag being mitigated in normal tissue.,KIF18A
named,4,5,KIF2C,inhibit,medium,"Top composite with excellent tumor enrichment and window plus CDKN2A/B synthetic lethality; kinesin motor domains are tractable so the no-MoA flag reflects novelty, not undruggability.",KIF2C
named,4,6,TEAD1,inhibit,high,"Hippo-pathway transcription factor with a real, actively-progressed small-molecule MoA (palmitate-pocket auto-palmitoylation inhibitors) and good selectivity/tractability, relevant to NF2/mesenchymal GBM.",TEAD1
named,4,7,CDK7,inhibit,medium,Transcriptional/cell-cycle kinase with clinical-stage selective covalent inhibitors and PTEN synthetic lethality; full tractability offsets the common-essential caution with a reachable dosing window.,CDK7
named,4,8,VRK1,inhibit,medium,"Strong, selective dependency with a druggable kinase active site (novel but genuinely tractable) and a favorable window; paralog-lethality context adds tumor selectivity.",VRK1
named,4,9,KIF18B,inhibit,medium,"Mitotic kinesin with exceptional tumor enrichment, tumor specificity, and window; motor domain is inhibitable so the zero-tract score reflects lack of a tool compound rather than intractability.",KIF18B
named,4,10,EGLN1,inhibit,medium,PHD2 prolyl hydroxylase is a fully tractable enzyme with approved small-molecule inhibitors; targeting hypoxia/HIF signaling is mechanistically rational in GBM.,EGLN1
named,4,11,ELAVL1,inhibit,low,"HuR RNA-binding protein driving oncogenic mRNA stability with tumor enrichment/specificity; small-molecule disruptors of RNA binding exist, making it a tractable non-kinase target.",ELAVL1
named,4,12,PTPN11,inhibit,medium,SHP2 is a fully tractable phosphatase with mature allosteric inhibitors that funnel RTK signaling in GBM; nominated despite a narrow window because clinical SHP2 inhibitors define the achievable margin.,PTPN11
named,4,13,E2F3,inhibit,low,"RB1-synthetic-lethal transcription factor with selectivity and reasonable window; nominated at low confidence because TF inhibition is hard, but the SL rationale is compelling for RB-deficient GBM.",E2F3
named,4,14,GPX4,inhibit,low,"Ferroptosis-guardian enzyme whose inhibition selectively kills mesenchymal/drug-tolerant GBM states; a real chemical MoA exists (covalent Se-active-site), though the poor window demands careful delivery.",GPX4
named,4,15,OSBP,inhibit,low,"Lipid-transfer protein with established natural-product small-molecule ligands (ORPphilins) and oncogenic sterol-signaling roles, offering a tractable non-kinase mechanism.",OSBP
named,5,1,PDGFRA,inhibit,high,"GBM-amplified receptor tyrosine kinase with top selectivity, perfect tumor-specificity, high tractability, and existing approved kinase inhibitors — the most actionable classical driver on the list.",PDGFRA
named,5,2,MET,inhibit,high,"Highly selective GBM-relevant RTK with approved small-molecule inhibitors and strong tumor enrichment, offering a well-precedented druggable node.",MET
named,5,3,CDK2,inhibit,high,"Fully tractable kinase with synthetic-lethality to RB1 loss, strong dependency and high tumor enrichment; selectivity is the main caveat given common-essentiality.",CDK2
named,5,4,CDK7,inhibit,medium,"Chemically tractable transcriptional/cell-cycle kinase with clinical-stage inhibitors and PTEN synthetic-lethality, though common-essentiality demands a therapeutic-window strategy.",CDK7
named,5,5,VRK1,inhibit,medium,"Strong, relatively selective dependency (a well-known paralog synthetic-lethal with VRK2 methylation seen in gliomas) with reasonable tractability as a druggable kinase.",VRK1
named,5,6,TEAD1,inhibit,medium,"Hippo-pathway transcription factor now genuinely druggable via covalent palmitate-pocket inhibitors, with good selectivity and tumor enrichment in mesenchymal GBM.",TEAD1
named,5,7,ITGAV,inhibit,medium,"Very strong dependency and full tractability with established integrin chemistry, but the near-zero tumor specificity means it should be pursued only with tumor-restricted delivery.",ITGAV
named,5,8,KIF2C,inhibit,medium,"Top composite from excellent tumor enrichment and therapeutic window plus CDKN2A/B synthetic-lethality, though it needs de novo inhibitor chemistry against a mitotic kinesin.",KIF2C
named,5,9,KIF18A,inhibit,medium,"Mitotic kinesin with strong dependency and excellent window, and — unlike most kinesins — has advanced clinical-stage small-molecule inhibitors validating the modality.",KIF18A
named,5,10,ELAVL1,inhibit,low,"Selective, tumor-enriched RNA-binding oncoprotein (HuR) with emerging small-molecule disruptors of its RNA interaction, warranting exploratory chemistry.",ELAVL1
named,5,11,EGLN1,inhibit,low,"Highly selective, fully tractable prolyl-hydroxylase enzyme with approved-drug chemistry, though the anti-tumor rationale in GBM (HIF axis) is directionally uncertain.",EGLN1
named,5,12,PTPN11,inhibit,low,"Druggable SHP2 phosphatase with validated allosteric inhibitors sitting downstream of RTK signaling in GBM, tempered by common-essentiality and CNS-safety flags.",PTPN11
named,5,13,WDR77,inhibit,medium,"Tumor-specific, enriched PRMT5 cofactor whose complex is targetable via the well-precedented MTAP-del/PRMT5 synthetic-lethal axis relevant to CDKN2A-co-deleted GBM.",WDR77
named,5,14,KIF18B,inhibit,low,Mitotic kinesin with outstanding tumor enrichment and window plus CDKN2A/B synthetic-lethality; shares KIF18A's druggable-pocket rationale but needs novel chemistry.,KIF18B
named,5,15,ITGB5,inhibit,low,"Novel integrin with balanced dependency, synthetic-lethality and tumor enrichment; a plausible extracellular-accessible target requiring new small-molecule or biologic chemistry.",ITGB5
named,6,1,PDGFRA,inhibit,high,"Validated GBM oncogenic driver kinase (frequently amplified/mutated) with top-tier tumor specificity, high selectivity, perfect tractability, and existing approved kinase inhibitors to repurpose.",PDGFRA
named,6,2,MET,inhibit,high,"Recurrent GBM driver kinase with the highest selectivity score, excellent tractability, and clinical-grade inhibitors already available for CNS-penetrant optimization.",MET
named,6,3,CDK2,inhibit,high,"Well-validated druggable cell-cycle kinase with an RB1 synthetic-lethal rationale and full tractability, though its common-essential/low-selectivity profile requires window-focused chemistry.",CDK2
named,6,4,CDK7,inhibit,medium,"Highly tractable transcriptional/cell-cycle kinase with mature covalent-inhibitor chemistry and a PTEN synthetic-lethal link, warranting therapeutic-index tuning given common-essentiality.",CDK7
named,6,5,KIF18A,inhibit,medium,Mitotic kinesin selectively required by chromosomally-unstable tumors with a genuine emerging small-molecule inhibitor class and strong tumor enrichment plus excellent window.,KIF18A
named,6,6,TEAD1,inhibit,medium,"Hippo-pathway transcription factor with a druggable lipid/palmitate pocket and clinical-stage autopalmitoylation inhibitors, offering a rare tractable route into a TF.",TEAD1
named,6,7,VRK1,inhibit,medium,"Highly selective, GBM-enriched serine/threonine kinase dependency (paralog-lethal in VRK2-low tumors) that is a mechanistically tractable ATP-competitive target despite lacking a mature inhibitor.",VRK1
named,6,8,KIF2C,inhibit,medium,"Top-composite mitotic kinesin/depolymerase with outstanding tumor enrichment and window, plausibly inhibitable at its motor domain like other kinesin-family targets.",KIF2C
named,6,9,KIF18B,inhibit,medium,"Mitotic kinesin with strong tumor enrichment, excellent therapeutic window, and CDKN2A/B synthetic lethality, sharing a druggable motor-domain rationale with KIF18A.",KIF18B
named,6,10,EGLN1,inhibit,medium,"Prolyl-hydroxylase enzyme with fully validated, orally-active small-molecule inhibitors (approved drug class) providing a ready chemical starting point for a GBM hypoxia/HIF axis.",EGLN1
named,6,11,ELAVL1,degrade,low,"GBM-enriched RNA-binding oncoprotein (HuR) with an established small-molecule and PROTAC-degrader precedent, making it an attractive tumor-selective dependency.",ELAVL1
named,6,12,PTPN11,inhibit,low,"Druggable SHP2 phosphatase with clinical allosteric inhibitors that broadly enables RTK-driven GBM signaling, though CNS safety and common-essentiality demand careful dosing.",PTPN11
named,6,13,WDR77,inhibit,low,"Tumor-specific, GBM-enriched PRMT5 co-factor whose CDKN2A/B-SL profile and MTAP-context biology are addressable via the tractable PRMT5-MEP50 complex interface.",WDR77
named,6,14,E2F3,degrade,low,RB1 synthetic-lethal transcription factor with a strong selectivity/tumor profile that could be reached indirectly via CDK-mediated or degrader approaches rather than direct inhibition.,E2F3
named,6,15,UBE2C,inhibit,low,"Extremely tumor-enriched APC/C E2 ligase driving mitotic exit with a large therapeutic window, representing a high-value but chemically challenging mitotic dependency.",UBE2C
named,7,1,PDGFRA,inhibit,high,"Recurrently amplified/mutated GBM oncogenic RTK with clinical-grade inhibitors, strong selectivity, tumor-specificity and full tractability.",PDGFRA
named,7,2,MET,inhibit,high,"Validated GBM oncogenic RTK driver with high selectivity and approved-drug chemistry, offering a directly druggable kinase target.",MET
named,7,3,CDK2,inhibit,high,"Fully tractable kinase with high dependency and RB1 synthetic-lethality, though selectivity is limited by common-essentiality.",CDK2
named,7,4,CDK7,inhibit,medium,"Transcriptional CDK with mature covalent inhibitor chemistry and PTEN synthetic-lethality relevant to GBM, despite common-essential liability.",CDK7
named,7,5,TEAD1,inhibit,medium,Hippo-pathway effector with an emerging palmitate-pocket small-molecule MoA and good selectivity/tractability in GBM.,TEAD1
named,7,6,PTK2,inhibit,medium,"FAK is a tractable, chemically mature kinase with GBM invasion/CDKN2A synthetic-lethality relevance, but its tumor-specificity is low.",PTK2
named,7,7,VRK1,inhibit,medium,Strong pan-cancer dependency serine/threonine kinase with an inherently druggable ATP pocket and paralog-based selectivity potential.,VRK1
named,7,8,KIF18A,inhibit,medium,"Mitotic kinesin with clinically validated small-molecule inhibitors and very high dependency/tumor-enrichment, offering a genuine inhibitor MoA.",KIF18A
named,7,9,ITGB5,inhibit,medium,Novel integrin with strong tumor-enrichment and CDKN2B/NF1 synthetic-lethality; extracellular target amenable to antibody/peptide-guided small molecules.,ITGB5
named,7,10,ELAVL1,inhibit,low,"HuR RNA-binding oncoprotein with tumor-enriched expression and emerging disruptor chemistry, though MoA remains early.",ELAVL1
named,7,11,EGLN1,inhibit,low,"PHD2 prolyl hydroxylase is a fully tractable enzyme with clinical inhibitors, though its GBM directionality (HIF stabilization) needs care.",EGLN1
named,7,12,GGPS1,inhibit,low,"Fully tractable prenylation enzyme with high tumor-specificity, offering a druggable metabolic vulnerability despite common-essentiality.",GGPS1
named,7,13,CDC25B,inhibit,low,"Cell-cycle phosphatase with tumor-specific expression and existing chemistry, though a robust selective inhibitor MoA is unproven.",CDC25B
named,7,14,WWTR1,inhibit,low,"TAZ Hippo effector drivable via upstream TEAD/palmitoylation chemistry with CDKN2A synthetic-lethality, but TME-dominated signal limits confidence.",WWTR1
named,7,15,UBE2C,inhibit,low,"APC/C E2 enzyme with maximal tumor-enrichment and high dependency, a promising target contingent on developing enzyme-inhibitor chemistry.",UBE2C
named,8,1,PDGFRA,inhibit,high,"Recurrently amplified/mutated receptor tyrosine kinase in GBM with top-tier tumor specificity, selectivity, tractability, and existing approved kinase inhibitors to repurpose.",PDGFRA
named,8,2,MET,inhibit,high,"Amplified/exon-14 driver RTK with near-perfect selectivity and tractability plus approved MET inhibitors, and a validated bypass mechanism in EGFR-driven GBM.",MET
named,8,3,CDK2,inhibit,medium,"Highly tractable, well-chemistried kinase with strong dependency and RB1 synthetic lethality; the low selectivity score reflects pan-cell-cycle essentiality that modern selective CDK2 inhibitors are engineered to overcome.",CDK2
named,8,4,PDGFRA,inhibit,high,duplicate-guard,PDGFRA
named,8,5,EGLN1,inhibit,medium,Druggable prolyl-hydroxylase (enzyme) with good selectivity and clinical-grade small molecules; strong tractability makes it an actionable metabolic/hypoxia node worth GBM validation.,EGLN1
named,8,6,TEAD1,inhibit,medium,"Hippo-pathway transcription factor now made druggable via the palmitate-pocket, with good selectivity and an emerging class of clinical TEAD autopalmitoylation inhibitors.",TEAD1
named,8,7,CDK7,inhibit,medium,"Transcriptional/cell-cycle kinase with fully tractable chemistry and clinical covalent inhibitors, and PTEN synthetic lethality; common-essentiality demands careful therapeutic-window work.",CDK7
named,8,8,VRK1,inhibit,medium,"Strong, comparatively selective serine/threonine kinase dependency with reasonable tractability; a genuinely novel inhibitable node once medicinal chemistry is developed.",VRK1
named,8,9,KIF18A,inhibit,medium,"Kinesin motor with very high dependency and excellent therapeutic window, and a precedented druggable ATPase pocket (clinical KIF18A inhibitors exist), making it inhibitable despite the novel label.",KIF18A
named,8,10,ELAVL1,degrade,low,HuR RNA-binding oncoprotein with strong tumor enrichment/specificity; degrader or interaction-inhibitor approaches are emerging for this otherwise enzyme-less target.,ELAVL1
named,8,11,FGFR1,inhibit,low,"Druggable RTK with high selectivity/tractability and approved inhibitors, but flagged CNS-safety-risk and modest window keep confidence guarded.",FGFR1
named,8,12,PTK2,inhibit,low,"FAK is fully tractable with clinical inhibitors and shows CDKN2A/B synthetic lethality, but very low tumor specificity and CNS risk temper enthusiasm to a hypothesis-stage node.",PTK2
named,8,13,WDR77,inhibit,low,PRMT5-cofactor with strong SL to CDKN2A/B and MTAP-deletion context; best pursued indirectly via the highly druggable PRMT5/MAT2A axis rather than WDR77 itself.,WDR77
named,8,14,CDC25B,inhibit,low,Cell-cycle phosphatase with existing chemistry and good tumor specificity; a plausible inhibition target though the narrow window and phosphatase-druggability caveats lower confidence.,CDC25B
named,8,15,KIF2C,inhibit,low,"Top composite driven by exceptional tumor enrichment and window, but as a kinesin with no established inhibitor MoA it is a compelling biology-first candidate requiring de novo chemistry.",KIF2C
named,8,16,GPR61,unknown,low,"Orphan GPCR is an inherently ligandable class with strong therapeutic window and tumor specificity, offering a rare small-molecule-friendly novel node.",GPR61
named,9,1,PDGFRA,inhibit,high,"GBM-defining amplified RTK oncogene with perfect tumor specificity, high selectivity/tractability and approved kinase inhibitors available for repurposing/CNS-optimization.",PDGFRA
named,9,2,MET,inhibit,high,Established GBM driver RTK with top selectivity and tractability scores and clinically validated small-molecule inhibitors ready for brain-penetrant campaigns.,MET
named,9,3,CDK2,inhibit,high,"Strong dependency with excellent tractability and RB1-synthetic-lethality rationale, and mature selective CDK2 chemistry is now emerging despite common-essential caveat.",CDK2
named,9,4,CDK7,inhibit,medium,Druggable transcriptional CDK with clear chemistry and PTEN synthetic-lethality; covalent selective inhibitors provide a real small-molecule path.,CDK7
named,9,5,KIF18A,inhibit,medium,"Kinesin with high dependency and excellent therapeutic window whose CIN-selective vulnerability is now clinically drugged, giving a genuine inhibitor MoA.",KIF18A
named,9,6,VRK1,inhibit,medium,High-dependency kinase with a defined ATP pocket and paralog-based synthetic-lethality logic makes it a tractable novel small-molecule enzyme target.,VRK1
named,9,7,TEAD1,inhibit,medium,"YAP/TAZ transcriptional effector with a lipid-binding pocket that has yielded real small-molecule TEAD palmitoylation inhibitors, offering a credible inhibit path.",TEAD1
named,9,8,PTPN11,inhibit,medium,Central RAS/RTK signaling node (SHP2) with clinically advanced allosteric inhibitors giving strong chemistry despite tumor-specificity limits.,PTPN11
named,9,9,ELAVL1,inhibit,low,HuR RNA-binding oncoprotein enriched in tumor with high selectivity/specificity and emerging small-molecule disruptors of its RNA interface.,ELAVL1
named,9,10,EGLN1,inhibit,low,Druggable PHD2 dioxygenase with clinically approved inhibitors; hypoxia-pathway role in GBM warrants exploration though directionality is uncertain.,EGLN1
named,9,11,KIF2C,inhibit,low,"Top composite driven by strong tumor enrichment and window, but as a mitotic kinesin it needs experimental proof of a ligandable inhibitory site.",KIF2C
named,9,12,KIF18B,inhibit,low,"Mitotic kinesin with excellent window and tumor enrichment and CDKN2A/B synthetic-lethality, plausibly druggable by analogy to KIF18A chemistry.",KIF18B
named,9,13,WDR77,inhibit,low,PRMT5-cofactor scaffold with strong synthetic-lethality signal that may be addressable via the well-drugged PRMT5/MTAP axis rather than direct binding.,WDR77
named,9,14,FGFR1,inhibit,low,"Validated GBM-relevant RTK with approved inhibitors and high specificity, worth pursuing only with brain-penetrant chemistry that avoids CNS toxicity.",FGFR1
named,9,15,E2F3,degrade,low,"RB1-synthetic-lethal transcription factor with good selectivity, but as a TF it is currently hard to drug directly and needs a proximity/degrader approach.",E2F3
named,10,1,PDGFRA,inhibit,high,"Recurrently amplified/mutated GBM driver RTK with excellent selectivity, tumor specificity, full tractability, and approved kinase inhibitors — a directly actionable inhibition target.",PDGFRA
named,10,2,MET,inhibit,high,Amplified/exon-14-altered oncogenic RTK in a subset of GBM with top-tier selectivity and tractability plus clinically available inhibitors.,MET
named,10,3,CDK2,inhibit,high,"Highly tractable, chemically mature kinase with strong dependency and RB1-loss synthetic lethality; selectivity concern is mitigable with newer CDK2-selective inhibitors.",CDK2
named,10,4,KIF2C,inhibit,medium,"Top composite with outstanding tumor enrichment and therapeutic window, but a mitotic kinesin lacking a defined small-molecule MoA so tractability must be developed.",KIF2C
named,10,5,KIF18A,inhibit,medium,"Kinesin with a genuinely druggable, actively-developed inhibitor class (chromosomally-unstable-tumor-selective) and excellent window/enrichment despite common-essential and low-selectivity flags.",KIF18A
named,10,6,VRK1,inhibit,medium,High-dependency serine/threonine kinase (paralog-lethal in VRK2-low tumors) that is enzymatically tractable and represents an emerging druggable node.,VRK1
named,10,7,KIF18B,inhibit,medium,"Novel mitotic kinesin with near-top tumor enrichment and outstanding therapeutic window plus CDKN2A/B synthetic lethality, worth chemical-tractability investment.",KIF18B
named,10,8,TEAD1,inhibit,medium,"Hippo-pathway transcription factor now genuinely druggable via the palmitate-pocket (autopalmitoylation inhibitors in clinic), giving a tractable inhibition route to a GBM-relevant oncogenic program.",TEAD1
named,10,9,EGLN1,inhibit,medium,"Enzymatically tractable prolyl-hydroxylase with clinical-grade inhibitors; hypoxia/HIF-axis modulation is a mechanistically plausible, fully-druggable angle for GBM.",EGLN1
named,10,10,CDK7,inhibit,medium,Fully tractable transcriptional CDK with clinical covalent inhibitors and PTEN synthetic lethality; common-essentiality demands careful dosing but the chemistry is real.,CDK7
